State_ab,Zip_Code
CA,90001
CA,90002
CA,90003
CA,90004
CA,90005
CA,90006
CA,90007
CA,90008
CA,90010
CA,90011
CA,90012
CA,90015
CA,90016
CA,90017
CA,90018
CA,90019
CA,90022
CA,90023
CA,90024
CA,90025
CA,90026
CA,90027
CA,90028
CA,90029
CA,90031
CA,90032
CA,90033
CA,90034
CA,90035
CA,90036
CA,90037
CA,90038
CA,90039
CA,90041
CA,90042
CA,90043
CA,90044
CA,90045
CA,90046
CA,90047
CA,90048
CA,90049
CA,90056
CA,90057
CA,90058
CA,90059
CA,90061
CA,90062
CA,90063
CA,90064
CA,90065
CA,90066
CA,90068
CA,90077
CA,90094
CA,90201
CA,90210
CA,90211
CA,90212
CA,90220
CA,90221
CA,90222
CA,90227
CA,90230
CA,90240
CA,90241
CA,90242
CA,90245
CA,90247
CA,90248
CA,90249
CA,90250
CA,90254
CA,90255
CA,90260
CA,90262
CA,90266
CA,90270
CA,90272
CA,90274
CA,90275
CA,90278
CA,90280
CA,90290
CA,90291
CA,90292
CA,90293
CA,90301
CA,90302
CA,90303
CA,90304
CA,90305
CA,90403
CA,90404
CA,90405
CA,90501
CA,90502
CA,90503
CA,90504
CA,90505
CA,90601
CA,90602
CA,90604
CA,90605
CA,90606
CA,90620
CA,90621
CA,90630
CA,90631
CA,90633
CA,90638
CA,90640
CA,90650
CA,90660
CA,90670
CA,90680
CA,90701
CA,90703
CA,90704
CA,90706
CA,90710
CA,90712
CA,90713
CA,90716
CA,90717
CA,90720
CA,90723
CA,90731
CA,90732
CA,90740
CA,90744
CA,90745
CA,90746
CA,90747
CA,90755
CA,90802
CA,90803
CA,90804
CA,90805
CA,90806
CA,90807
CA,90808
CA,90810
CA,90813
CA,90814
CA,90815
CA,91001
CA,91007
CA,91010
CA,91011
CA,91016
CA,91024
CA,91030
CA,91040
CA,91042
CA,91101
CA,91103
CA,91104
CA,91106
CA,91107
CA,91108
CA,91201
CA,91202
CA,91203
CA,91204
CA,91205
CA,91206
CA,91208
CA,91214
CA,91301
CA,91302
CA,91303
CA,91304
CA,91306
CA,91307
CA,91311
CA,91316
CA,91320
CA,91321
CA,91324
CA,91325
CA,91326
CA,91331
CA,91335
CA,91340
CA,91342
CA,91343
CA,91344
CA,91345
CA,91350
CA,91351
CA,91352
CA,91355
CA,91356
CA,91360
CA,91361
CA,91362
CA,91364
CA,91367
CA,91377
CA,91381
CA,91384
CA,91387
CA,91390
CA,91401
CA,91402
CA,91403
CA,91405
CA,91406
CA,91411
CA,91423
CA,91436
CA,91501
CA,91502
CA,91504
CA,91505
CA,91506
CA,91601
CA,91602
CA,91604
CA,91605
CA,91606
CA,91701
CA,91702
CA,91706
CA,91709
CA,91710
CA,91711
CA,91716
CA,91722
CA,91723
CA,91724
CA,91730
CA,91731
CA,91732
CA,91733
CA,91737
CA,91740
CA,91741
CA,91744
CA,91745
CA,91746
CA,91748
CA,91752
CA,91754
CA,91755
CA,91759
CA,91761
CA,91762
CA,91763
CA,91764
CA,91765
CA,91766
CA,91767
CA,91768
CA,91770
CA,91773
CA,91775
CA,91776
CA,91780
CA,91784
CA,91786
CA,91789
CA,91790
CA,91791
CA,91801
CA,91803
CA,91901
CA,91902
CA,91910
CA,91911
CA,91913
CA,91932
CA,91935
CA,91941
CA,91944
CA,91945
CA,91950
CA,91962
CA,92003
CA,92004
CA,92007
CA,92009
CA,92014
CA,92019
CA,92020
CA,92021
CA,92024
CA,92025
CA,92026
CA,92027
CA,92028
CA,92029
CA,92037
CA,92040
CA,92054
CA,92056
CA,92057
CA,92058
CA,92061
CA,92064
CA,92065
CA,92067
CA,92069
CA,92071
CA,92075
CA,92078
CA,92082
CA,92084
CA,92093
CA,92101
CA,92102
CA,92103
CA,92104
CA,92105
CA,92106
CA,92107
CA,92109
CA,92110
CA,92111
CA,92113
CA,92114
CA,92115
CA,92116
CA,92117
CA,92118
CA,92119
CA,92120
CA,92121
CA,92122
CA,92123
CA,92124
CA,92126
CA,92127
CA,92128
CA,92129
CA,92130
CA,92131
CA,92139
CA,92154
CA,92173
CA,92201
CA,92203
CA,92220
CA,92223
CA,92225
CA,92227
CA,92231
CA,92234
CA,92236
CA,92240
CA,92243
CA,92250
CA,92251
CA,92253
CA,92260
CA,92262
CA,92264
CA,92270
CA,92273
CA,92274
CA,92276
CA,92277
CA,92284
CA,92301
CA,92307
CA,92308
CA,92311
CA,92313
CA,92315
CA,92316
CA,92324
CA,92329
CA,92335
CA,92336
CA,92337
CA,92339
CA,92342
CA,92344
CA,92345
CA,92346
CA,92352
CA,92354
CA,92356
CA,92373
CA,92374
CA,92376
CA,92377
CA,92384
CA,92394
CA,92395
CA,92399
CA,92404
CA,92405
CA,92407
CA,92410
CA,92411
CA,92501
CA,92502
CA,92503
CA,92504
CA,92505
CA,92506
CA,92507
CA,92508
CA,92509
CA,92530
CA,92536
CA,92539
CA,92543
CA,92544
CA,92545
CA,92551
CA,92553
CA,92555
CA,92557
CA,92562
CA,92563
CA,92567
CA,92570
CA,92581
CA,92583
CA,92584
CA,92586
CA,92590
CA,92591
CA,92592
CA,92595
CA,92596
CA,92603
CA,92604
CA,92606
CA,92612
CA,92614
CA,92618
CA,92620
CA,92624
CA,92626
CA,92629
CA,92630
CA,92646
CA,92647
CA,92648
CA,92649
CA,92651
CA,92653
CA,92655
CA,92656
CA,92660
CA,92672
CA,92673
CA,92675
CA,92677
CA,92679
CA,92683
CA,92688
CA,92691
CA,92692
CA,92694
CA,92701
CA,92703
CA,92704
CA,92705
CA,92706
CA,92707
CA,92708
CA,92780
CA,92801
CA,92802
CA,92804
CA,92805
CA,92806
CA,92807
CA,92808
CA,92821
CA,92831
CA,92832
CA,92833
CA,92835
CA,92840
CA,92841
CA,92843
CA,92844
CA,92845
CA,92860
CA,92865
CA,92866
CA,92867
CA,92868
CA,92869
CA,92870
CA,92879
CA,92880
CA,92881
CA,92882
CA,92883
CA,92887
CA,93001
CA,93003
CA,93004
CA,93010
CA,93012
CA,93013
CA,93016
CA,93021
CA,93022
CA,93023
CA,93030
CA,93033
CA,93036
CA,93040
CA,93041
CA,93060
CA,93063
CA,93065
CA,93101
CA,93103
CA,93105
CA,93108
CA,93109
CA,93110
CA,93117
CA,93160
CA,93203
CA,93204
CA,93210
CA,93212
CA,93215
CA,93218
CA,93219
CA,93221
CA,93230
CA,93232
CA,93235
CA,93240
CA,93241
CA,93242
CA,93243
CA,93245
CA,93247
CA,93249
CA,93250
CA,93251
CA,93257
CA,93263
CA,93267
CA,93268
CA,93270
CA,93272
CA,93274
