State_ab,Zip_Code
CO,80003
CO,80004
CO,80005
CO,80010
CO,80011
CO,80012
CO,80013
CO,80014
CO,80015
CO,80016
CO,80017
CO,80018
CO,80020
CO,80021
CO,80022
CO,80026
CO,80027
CO,80030
CO,80031
CO,80033
CO,80102
CO,80104
CO,80106
CO,80107
CO,80109
CO,80110
CO,80111
CO,80112
CO,80113
CO,80116
CO,80118
CO,80120
CO,80121
CO,80122
CO,80123
CO,80124
CO,80125
CO,80126
CO,80127
CO,80128
CO,80130
CO,80132
CO,80133
CO,80134
CO,80138
CO,80150
CO,80203
CO,80204
CO,80205
CO,80206
CO,80207
CO,80209
CO,80210
CO,80211
CO,80212
CO,80214
CO,80215
CO,80216
CO,80218
CO,80219
CO,80220
CO,80221
CO,80222
CO,80223
CO,80226
CO,80227
CO,80228
CO,80229
CO,80231
CO,80232
CO,80233
CO,80234
CO,80235
CO,80236
CO,80237
CO,80239
CO,80241
CO,80260
CO,80301
CO,80302
CO,80303
CO,80304
CO,80305
CO,80401
CO,80403
CO,80424
CO,80433
CO,80439
CO,80440
CO,80443
CO,80444
CO,80446
CO,80454
CO,80455
CO,80459
CO,80461
CO,80465
CO,80466
CO,80467
CO,80470
CO,80483
CO,80487
CO,80498
CO,80501
CO,80503
CO,80504
CO,80513
CO,80516
CO,80521
CO,80524
CO,80525
CO,80526
CO,80530
CO,80534
CO,80535
CO,80537
CO,80538
CO,80540
CO,80547
CO,80549
CO,80550
CO,80601
CO,80602
CO,80605
CO,80615
CO,80620
CO,80621
CO,80631
CO,80634
CO,80643
CO,80651
CO,80653
CO,80654
CO,80701
CO,80720
CO,80723
CO,80734
CO,80742
CO,80744
CO,80751
CO,80759
CO,80805
CO,80807
CO,80813
CO,80817
CO,80820
CO,80821
CO,80825
CO,80834
CO,80840
CO,80864
CO,80866
CO,80902
CO,80903
CO,80904
CO,80906
CO,80907
CO,80908
CO,80909
CO,80910
CO,80911
CO,80915
CO,80916
CO,80917
CO,80918
CO,80919
CO,80920
CO,80921
CO,80922
CO,81001
CO,81003
CO,81004
CO,81005
CO,81006
CO,81007
CO,81008
CO,81019
CO,81020
CO,81022
CO,81027
CO,81047
CO,81050
CO,81052
CO,81054
CO,81057
CO,81067
CO,81082
CO,81089
CO,81090
CO,81101
CO,81125
CO,81130
CO,81132
CO,81146
CO,81147
CO,81149
CO,81152
CO,81201
CO,81211
CO,81212
CO,81223
CO,81224
CO,81226
CO,81230
CO,81301
CO,81321
CO,81323
CO,81402
CO,81413
CO,81424
CO,81428
CO,81435
CO,81501
CO,81503
CO,81504
CO,81521
CO,81524
CO,81611
CO,81620
CO,81621
CO,81623
CO,81625
CO,81632
CO,81640
CO,81645
CO,81647
CO,81648
CO,81657
