State_ab,Zip_Code
FL,32003
FL,32011
FL,32024
FL,32025
FL,32034
FL,32038
FL,32040
FL,32043
FL,32053
FL,32054
FL,32063
FL,32064
FL,32065
FL,32068
FL,32073
FL,32081
FL,32082
FL,32084
FL,32086
FL,32091
FL,32092
FL,32095
FL,32096
FL,32097
FL,32110
FL,32112
FL,32114
FL,32117
FL,32118
FL,32119
FL,32127
FL,32128
FL,32129
FL,32130
FL,32131
FL,32136
FL,32137
FL,32141
FL,32148
FL,32159
FL,32162
FL,32164
FL,32168
FL,32169
FL,32174
FL,32177
FL,32180
FL,32195
FL,32205
FL,32207
FL,32208
FL,32209
FL,32210
FL,32211
FL,32216
FL,32217
FL,32218
FL,32219
FL,32221
FL,32223
FL,32224
FL,32225
FL,32233
FL,32234
FL,32244
FL,32246
FL,32250
FL,32254
FL,32256
FL,32257
FL,32258
FL,32259
FL,32277
FL,32301
FL,32303
FL,32304
FL,32305
FL,32308
FL,32309
FL,32310
FL,32311
FL,32312
FL,32317
FL,32320
FL,32321
FL,32324
FL,32327
FL,32331
FL,32334
FL,32344
FL,32347
FL,32348
FL,32351
FL,32352
FL,32355
FL,32358
FL,32401
FL,32404
FL,32405
FL,32407
FL,32408
FL,32413
FL,32425
FL,32428
FL,32430
FL,32433
FL,32435
FL,32440
FL,32444
FL,32446
FL,32448
FL,32455
FL,32456
FL,32459
FL,32462
FL,32465
FL,32466
FL,32501
FL,32503
FL,32504
FL,32505
FL,32507
FL,32511
FL,32514
FL,32526
FL,32531
FL,32533
FL,32534
FL,32536
FL,32539
FL,32541
FL,32547
FL,32548
FL,32563
FL,32565
FL,32566
FL,32567
FL,32568
FL,32569
FL,32570
FL,32571
FL,32578
FL,32579
FL,32583
FL,32601
FL,32605
FL,32607
FL,32608
FL,32609
FL,32615
FL,32617
FL,32618
FL,32625
FL,32626
FL,32628
FL,32640
FL,32641
FL,32643
FL,32656
FL,32669
FL,32680
FL,32693
FL,32696
FL,32701
FL,32702
FL,32703
FL,32707
FL,32708
FL,32712
FL,32713
FL,32714
FL,32720
FL,32721
FL,32724
FL,32725
FL,32726
FL,32730
FL,32738
FL,32744
FL,32746
FL,32750
FL,32751
FL,32754
FL,32757
FL,32763
FL,32764
FL,32765
FL,32767
FL,32771
FL,32773
FL,32776
FL,32778
FL,32780
FL,32792
FL,32798
FL,32801
FL,32803
FL,32804
FL,32805
FL,32806
FL,32807
FL,32808
FL,32809
