State_ab,Zip_Code
IL,52601
IL,53192
IL,60002
IL,60004
IL,60005
IL,60007
IL,60008
IL,60010
IL,60013
IL,60014
IL,60015
IL,60016
IL,60018
IL,60021
IL,60022
IL,60025
IL,60030
IL,60031
IL,60033
IL,60035
IL,60040
IL,60041
IL,60042
IL,60045
IL,60046
IL,60047
IL,60050
IL,60051
IL,60053
IL,60056
IL,60060
IL,60061
IL,60062
IL,60064
IL,60067
IL,60068
IL,60069
IL,60070
IL,60072
IL,60073
IL,60074
IL,60076
IL,60077
IL,60085
IL,60087
IL,60088
IL,60089
IL,60090
IL,60091
IL,60093
IL,60098
IL,60099
IL,60101
IL,60102
IL,60103
IL,60104
IL,60106
IL,60107
IL,60108
IL,60110
IL,60113
IL,60115
IL,60118
IL,60119
IL,60120
IL,60123
IL,60124
IL,60126
IL,60130
IL,60131
IL,60133
IL,60134
IL,60137
IL,60139
IL,60140
IL,60142
IL,60146
IL,60148
IL,60151
IL,60153
IL,60154
IL,60155
IL,60156
IL,60160
IL,60162
IL,60163
IL,60164
IL,60169
IL,60171
IL,60172
IL,60174
IL,60175
IL,60176
IL,60178
IL,60180
IL,60181
IL,60185
IL,60187
IL,60188
IL,60189
IL,60191
IL,60192
IL,60193
IL,60194
IL,60195
IL,60201
IL,60202
IL,60302
IL,60304
IL,60305
IL,60401
IL,60402
IL,60403
IL,60404
IL,60406
IL,60409
IL,60410
IL,60411
IL,60416
IL,60417
IL,60419
IL,60422
IL,60423
IL,60426
IL,60429
IL,60430
IL,60431
IL,60432
IL,60433
IL,60435
IL,60438
IL,60439
IL,60440
IL,60441
IL,60442
IL,60443
IL,60444
IL,60445
IL,60446
IL,60447
IL,60448
IL,60449
IL,60450
IL,60451
IL,60452
IL,60453
IL,60455
IL,60457
IL,60458
IL,60459
IL,60460
IL,60462
IL,60463
IL,60465
IL,60466
IL,60467
IL,60470
IL,60471
IL,60472
IL,60473
IL,60475
IL,60476
IL,60477
IL,60478
IL,60481
IL,60482
IL,60491
IL,60501
IL,60504
IL,60505
IL,60506
IL,60510
IL,60513
IL,60514
IL,60515
IL,60516
IL,60517
IL,60518
IL,60521
IL,60525
IL,60526
IL,60527
IL,60532
IL,60534
IL,60538
IL,60540
IL,60541
IL,60542
IL,60543
IL,60544
IL,60545
IL,60546
IL,60549
IL,60550
IL,60551
IL,60552
IL,60553
IL,60555
IL,60558
IL,60559
IL,60561
IL,60563
IL,60564
IL,60565
IL,60586
IL,60602
IL,60605
IL,60607
IL,60608
IL,60609
IL,60610
IL,60612
IL,60613
IL,60614
IL,60615
IL,60616
IL,60617
IL,60618
IL,60619
IL,60620
IL,60621
IL,60622
IL,60623
IL,60624
IL,60625
IL,60626
IL,60628
IL,60629
IL,60630
IL,60631
IL,60632
IL,60633
IL,60634
IL,60636
IL,60637
IL,60638
IL,60639
IL,60640
IL,60641
IL,60642
IL,60643
IL,60644
IL,60645
IL,60646
IL,60647
IL,60649
IL,60651
IL,60652
IL,60653
IL,60655
IL,60656
IL,60657
IL,60659
IL,60660
IL,60706
IL,60707
IL,60712
IL,60714
IL,60803
IL,60804
IL,60805
IL,60827
IL,60901
IL,60914
IL,60922
IL,60924
IL,60927
IL,60936
IL,60940
IL,60941
IL,60942
IL,60944
IL,60950
IL,60954
IL,60957
IL,60959
IL,60963
IL,60964
IL,60968
IL,60970
IL,60974
IL,61008
IL,61010
IL,61012
IL,61014
IL,61018
IL,61021
IL,61024
IL,61028
IL,61032
IL,61036
IL,61051
IL,61054
