State_ab,Zip_Code
TN,24201
TN,35739
TN,37013
TN,37022
TN,37023
TN,37026
TN,37027
TN,37033
TN,37037
TN,37040
TN,37042
TN,37043
TN,37047
TN,37048
TN,37049
TN,37055
TN,37058
TN,37059
TN,37061
TN,37062
TN,37064
TN,37066
TN,37073
TN,37075
TN,37076
TN,37080
TN,37082
TN,37083
TN,37085
TN,37086
TN,37087
TN,37091
TN,37096
TN,37110
TN,37115
TN,37122
TN,37128
TN,37129
TN,37130
TN,37134
TN,37138
TN,37143
TN,37146
TN,37148
TN,37150
TN,37152
TN,37160
TN,37166
TN,37167
TN,37172
TN,37174
TN,37179
TN,37180
TN,37184
TN,37185
TN,37186
TN,37187
TN,37188
TN,37203
TN,37204
TN,37205
TN,37206
TN,37207
TN,37208
TN,37209
TN,37210
TN,37211
TN,37212
TN,37214
TN,37215
TN,37216
TN,37217
TN,37218
TN,37221
TN,37302
TN,37303
TN,37307
TN,37308
TN,37311
TN,37312
TN,37317
TN,37321
TN,37323
TN,37327
TN,37329
TN,37334
TN,37335
TN,37339
TN,37341
TN,37342
TN,37343
TN,37345
TN,37350
TN,37354
TN,37355
TN,37356
TN,37363
TN,37367
TN,37370
TN,37373
TN,37375
TN,37377
TN,37379
TN,37380
TN,37381
TN,37388
TN,37397
TN,37398
TN,37403
TN,37404
TN,37405
TN,37410
TN,37411
TN,37412
TN,37415
TN,37416
TN,37419
TN,37421
TN,37601
TN,37604
TN,37615
TN,37617
TN,37618
TN,37620
TN,37640
TN,37642
TN,37643
TN,37650
TN,37659
TN,37660
TN,37664
TN,37687
TN,37690
TN,37694
TN,37701
TN,37705
TN,37711
TN,37715
TN,37716
TN,37721
TN,37725
TN,37729
TN,37738
TN,37743
TN,37745
TN,37748
TN,37752
TN,37756
TN,37757
TN,37760
TN,37763
TN,37764
TN,37766
TN,37769
TN,37771
TN,37772
TN,37774
TN,37777
TN,37801
TN,37803
TN,37804
TN,37807
TN,37811
TN,37813
TN,37814
TN,37818
TN,37820
TN,37829
TN,37830
TN,37840
TN,37841
TN,37843
TN,37846
TN,37849
TN,37852
TN,37853
TN,37854
TN,37861
TN,37862
TN,37865
TN,37869
TN,37871
TN,37872
TN,37873
TN,37876
TN,37879
TN,37880
TN,37882
TN,37885
TN,37887
TN,37890
TN,37909
TN,37912
TN,37914
TN,37916
TN,37917
TN,37918
TN,37919
TN,37920
TN,37921
TN,37922
TN,37923
TN,37924
TN,37931
TN,37932
TN,38002
TN,38006
TN,38008
TN,38011
TN,38012
TN,38016
TN,38017
TN,38019
TN,38023
TN,38024
TN,38030
TN,38034
TN,38040
TN,38048
TN,38049
TN,38050
TN,38053
TN,38058
TN,38060
TN,38063
TN,38068
TN,38075
TN,38080
TN,38104
TN,38106
TN,38107
TN,38108
TN,38109
TN,38111
TN,38112
TN,38114
TN,38115
TN,38116
TN,38117
TN,38118
TN,38119
TN,38120
TN,38122
TN,38125
TN,38127
TN,38128
TN,38133
TN,38134
TN,38135
TN,38138
TN,38139
TN,38141
TN,38201
TN,38221
TN,38225
TN,38229
TN,38230
TN,38232
TN,38235
TN,38237
TN,38242
TN,38251
TN,38255
TN,38260
TN,38261
TN,38301
TN,38305
TN,38310
TN,38320
TN,38337
TN,38340
TN,38341
TN,38343
TN,38344
TN,38351
TN,38357
TN,38358
TN,38368
TN,38372
TN,38381
TN,38382
TN,38388
TN,38389
TN,38391
TN,38401
TN,38451
TN,38462
TN,38464
TN,38469
TN,38472
TN,38474
TN,38478
TN,38485
TN,38488
TN,38501
TN,38504
TN,38506
TN,38544
TN,38553
TN,38554
TN,38559
TN,38560
TN,38570
TN,38571
TN,38572
TN,38574
TN,38580
TN,38583
TN,38585
TN,72358
