State_ab,Zip_Code
TX,73672
TX,75001
TX,75002
TX,75006
TX,75007
TX,75010
TX,75015
TX,75019
TX,75020
TX,75022
TX,75023
TX,75024
TX,75025
TX,75028
TX,75029
TX,75032
TX,75034
TX,75035
TX,75039
TX,75040
TX,75041
TX,75042
TX,75043
TX,75044
TX,75050
TX,75051
TX,75052
TX,75054
TX,75056
TX,75057
TX,75060
TX,75061
TX,75062
TX,75063
TX,75065
TX,75067
TX,75068
TX,75069
TX,75070
TX,75071
TX,75074
TX,75075
TX,75076
TX,75077
TX,75078
TX,75080
TX,75081
TX,75087
TX,75089
TX,75090
TX,75092
TX,75093
TX,75094
TX,75098
TX,75103
TX,75104
TX,75110
TX,75114
TX,75115
TX,75116
TX,75119
TX,75124
TX,75125
TX,75126
TX,75140
TX,75142
TX,75143
TX,75144
TX,75146
TX,75148
TX,75149
TX,75150
TX,75154
TX,75155
TX,75158
TX,75159
TX,75160
TX,75165
TX,75169
TX,75173
TX,75180
TX,75181
TX,75182
TX,75185
TX,75201
TX,75203
TX,75204
TX,75205
TX,75206
TX,75208
TX,75209
TX,75210
TX,75211
TX,75212
TX,75214
TX,75215
TX,75216
TX,75217
TX,75218
TX,75219
TX,75220
TX,75223
TX,75224
TX,75225
TX,75227
TX,75228
TX,75229
TX,75230
TX,75231
TX,75232
TX,75233
TX,75234
TX,75235
TX,75237
TX,75238
TX,75240
TX,75241
TX,75243
TX,75244
TX,75246
TX,75248
TX,75252
TX,75287
TX,75403
TX,75407
TX,75409
TX,75414
TX,75416
TX,75417
TX,75418
TX,75422
TX,75424
TX,75428
TX,75431
TX,75433
TX,75438
TX,75442
TX,75455
TX,75456
TX,75459
TX,75460
TX,75474
TX,75477
TX,75479
TX,75482
TX,75489
TX,75490
TX,75494
TX,75495
TX,75496
TX,75497
TX,75501
TX,75503
TX,75554
TX,75559
TX,75563
TX,75565
TX,75567
TX,75569
TX,75571
TX,75573
TX,75574
TX,75605
TX,75606
TX,75608
TX,75633
TX,75638
TX,75642
TX,75643
TX,75644
TX,75647
TX,75650
TX,75653
TX,75656
TX,75657
TX,75661
TX,75662
TX,75670
TX,75672
TX,75681
TX,75683
TX,75684
TX,75686
TX,75693
TX,75701
TX,75703
TX,75704
TX,75707
TX,75750
TX,75751
TX,75754
TX,75756
TX,75757
TX,75758
TX,75760
TX,75763
TX,75766
TX,75770
TX,75771
TX,75773
TX,75780
TX,75783
TX,75785
TX,75789
TX,75790
TX,75791
TX,75792
TX,75802
TX,75831
TX,75835
TX,75839
TX,75840
TX,75844
TX,75845
TX,75846
TX,75851
TX,75860
TX,75862
TX,75901
TX,75904
TX,75925
TX,75929
TX,75935
TX,75937
TX,75938
TX,75939
TX,75941
TX,75944
TX,75948
TX,75951
TX,75954
TX,75956
TX,75962
TX,75963
TX,75965
TX,75966
TX,75968
TX,75969
TX,75972
TX,76001
TX,76002
TX,76006
TX,76008
TX,76009
TX,76010
TX,76011
TX,76012
TX,76013
TX,76014
TX,76015
TX,76016
TX,76018
TX,76020
TX,76021
TX,76022
TX,76023
TX,76028
TX,76031
TX,76033
TX,76034
TX,76036
TX,76039
TX,76040
TX,76043
TX,76044
TX,76048
TX,76049
TX,76050
TX,76051
TX,76052
TX,76053
TX,76059
TX,76060
TX,76063
TX,76065
TX,76067
TX,76070
TX,76073
TX,76078
TX,76084
TX,76086
TX,76087
TX,76092
TX,76102
TX,76103
TX,76104
TX,76105
TX,76106
TX,76107
TX,76108
TX,76109
TX,76110
TX,76111
TX,76112
TX,76114
TX,76115
TX,76116
TX,76117
TX,76118
TX,76119
TX,76120
TX,76123
TX,76126
TX,76131
TX,76132
TX,76133
TX,76134
TX,76135
TX,76137
TX,76148
TX,76164
TX,76177
TX,76179
TX,76180
TX,76201
TX,76205
TX,76207
TX,76209
TX,76210
TX,76226
TX,76227
TX,76230
TX,76234
TX,76240
TX,76244
TX,76247
TX,76248
TX,76249
TX,76252
TX,76255
TX,76259
TX,76262
TX,76264
TX,76266
TX,76301
TX,76302
TX,76303
TX,76305
TX,76306
TX,76308
TX,76309
TX,76310
TX,76311
TX,76354
TX,76360
TX,76365
TX,76374
TX,76384
TX,76389
TX,76401
TX,76424
TX,76426
TX,76430
TX,76431
TX,76437
TX,76442
TX,76444
TX,76448
TX,76450
TX,76455
TX,76458
TX,76461
TX,76471
TX,76475
TX,76476
TX,76501
TX,76502
TX,76504
TX,76513
TX,76518
TX,76520
TX,76522
