State_ab,Zip_Code
VA,20105
VA,20109
VA,20110
VA,20111
VA,20112
VA,20120
VA,20121
VA,20124
VA,20132
VA,20136
VA,20147
VA,20148
VA,20151
VA,20152
VA,20155
VA,20158
VA,20164
VA,20165
VA,20169
VA,20170
VA,20171
VA,20175
VA,20176
VA,20180
VA,20186
VA,20187
VA,20190
VA,20191
VA,20197
VA,22003
VA,22015
VA,22025
VA,22026
VA,22030
VA,22031
VA,22032
VA,22033
VA,22039
VA,22041
VA,22042
VA,22043
VA,22044
VA,22046
VA,22066
VA,22079
VA,22101
VA,22102
VA,22124
VA,22134
VA,22150
VA,22151
VA,22152
VA,22153
VA,22180
VA,22181
VA,22182
VA,22191
VA,22192
VA,22193
VA,22201
VA,22202
VA,22203
VA,22204
VA,22205
VA,22206
VA,22207
VA,22213
VA,22301
VA,22302
VA,22303
VA,22304
VA,22305
VA,22306
VA,22307
VA,22308
VA,22309
VA,22310
VA,22311
VA,22312
VA,22314
VA,22315
VA,22401
VA,22405
VA,22406
VA,22407
VA,22408
VA,22443
VA,22464
VA,22469
VA,22473
VA,22482
VA,22485
VA,22508
VA,22514
VA,22553
VA,22554
VA,22556
VA,22560
VA,22567
VA,22572
VA,22601
VA,22602
VA,22603
VA,22604
VA,22611
VA,22620
VA,22624
VA,22630
VA,22657
VA,22664
VA,22701
VA,22712
VA,22727
VA,22729
VA,22747
VA,22801
VA,22802
VA,22812
VA,22815
VA,22821
VA,22827
VA,22835
VA,22842
VA,22846
VA,22849
VA,22901
VA,22902
VA,22903
VA,22908
VA,22911
VA,22937
VA,22939
VA,22942
VA,22947
VA,22949
VA,22959
VA,22963
VA,22973
VA,22980
VA,23002
VA,23005
VA,23040
VA,23060
VA,23061
VA,23063
VA,23069
VA,23083
VA,23085
VA,23086
VA,23092
VA,23109
VA,23111
VA,23112
VA,23113
VA,23114
VA,23116
VA,23117
VA,23120
VA,23124
VA,23135
VA,23139
VA,23150
VA,23181
VA,23185
VA,23187
VA,23188
VA,23192
VA,23218
VA,23219
VA,23220
VA,23221
VA,23222
VA,23223
VA,23224
VA,23225
VA,23226
VA,23227
VA,23228
VA,23229
VA,23230
VA,23231
VA,23233
VA,23234
VA,23235
VA,23236
VA,23237
VA,23238
VA,23294
VA,23301
VA,23310
VA,23315
VA,23320
VA,23321
VA,23322
VA,23323
VA,23324
VA,23325
VA,23336
VA,23350
VA,23405
VA,23407
VA,23416
VA,23418
VA,23421
VA,23430
VA,23434
VA,23435
VA,23437
VA,23440
VA,23451
VA,23452
VA,23453
VA,23454
VA,23455
VA,23456
VA,23462
VA,23464
VA,23487
VA,23502
VA,23503
VA,23504
VA,23505
VA,23507
VA,23508
VA,23509
VA,23510
VA,23513
VA,23518
VA,23523
VA,23529
VA,23601
VA,23602
VA,23605
VA,23606
VA,23607
VA,23608
VA,23661
VA,23662
VA,23663
VA,23664
VA,23666
VA,23669
VA,23692
VA,23693
VA,23696
VA,23701
VA,23702
VA,23704
VA,23707
VA,23803
VA,23805
VA,23824
VA,23829
VA,23830
VA,23831
VA,23832
VA,23833
VA,23834
VA,23836
VA,23838
VA,23841
VA,23842
VA,23847
VA,23851
VA,23860
VA,23867
VA,23868
VA,23870
VA,23874
VA,23875
VA,23884
VA,23901
VA,23921
VA,23922
VA,23923
VA,23927
VA,23950
VA,23968
VA,23970
VA,23974
VA,24012
VA,24013
VA,24014
VA,24015
VA,24016
VA,24017
VA,24018
VA,24019
VA,24053
VA,24055
VA,24060
VA,24064
VA,24065
VA,24072
VA,24073
VA,24077
VA,24078
VA,24084
VA,24090
VA,24095
VA,24102
VA,24104
VA,24112
VA,24122
VA,24124
VA,24127
VA,24136
VA,24137
VA,24141
VA,24148
VA,24149
VA,24153
VA,24162
VA,24174
VA,24179
VA,24184
VA,24185
VA,24202
VA,24210
VA,24212
VA,24216
VA,24224
VA,24225
VA,24230
VA,24243
VA,24250
VA,24251
VA,24256
VA,24260
VA,24263
VA,24266
VA,24271
VA,24273
VA,24277
VA,24281
VA,24288
VA,24293
VA,24301
VA,24312
VA,24315
VA,24317
VA,24319
VA,24328
VA,24330
VA,24333
VA,24343
VA,24347
VA,24348
VA,24354
VA,24360
VA,24361
VA,24368
VA,24370
VA,24401
VA,24421
VA,24426
VA,24435
VA,24437
VA,24440
VA,24445
VA,24450
VA,24477
VA,24479
VA,24501
VA,24502
VA,24503
VA,24504
VA,24521
VA,24522
VA,24523
VA,24527
VA,24531
VA,24540
VA,24541
VA,24549
VA,24551
VA,24557
VA,24558
VA,24572
VA,24574
VA,24576
VA,24577
VA,24586
VA,24588
VA,24589
VA,24592
VA,24605
VA,24609
VA,24614
VA,24630
VA,24631
VA,24634
VA,24651
VA,24656
