State_ab,City,Zip_Code,Lat,Lon,Median,Stdev
AL,Chickasaw,36611,30.77145,-88.079697,30506,33101
AL,Louisville,36048,31.708516,-85.611039,19528,43789
AL,Columbiana,35051,33.191452,-86.615618,31930,57348
AL,Satsuma,36572,30.874343,-88.009442,52814,47707
AL,Dauphin Island,36528,30.250913,-88.171268,67225,54270
AL,Cullman,35057,34.045414,-86.88267,42643,35886
AL,East Brewton,36426,31.09144,-87.055345,23610,28256
AL,Coosada,36020,32.544337,-86.336446,40242,38941
AL,Eva,35621,34.326504,-86.765318,39591,47235
AL,Sylacauga,35151,33.168097,-86.442774,41712,51359
AL,Rainsville,35986,34.457329,-85.689447,38947,44430
AL,Gadsden,35901,34.009563,-86.015643,28811,41397
AL,Georgiana,36033,31.639134,-86.746762,19757,27656
AL,Rockford,35136,33.060835,-86.052333,22745,27452
AL,Greensboro,36744,32.700968,-87.5937,21136,45043
AL,Guin,35563,33.944319,-87.870368,39047,53934
AL,Hartford,36344,31.105348,-85.691225,21608,45280
AL,Hokes Bluff,35903,33.989682,-85.862873,46738,44401
AL,Opp,36467,31.238158,-86.325104,34049,48287
AL,Millport,35576,33.580891,-87.986179,34725,36562
AL,Section,35771,34.545063,-86.09335,31635,62581
AL,Andalusia,36420,31.24398,-86.46015,43794,32431
AL,Lockhart,36455,31.013011,-86.350273,36849,45634
AL,Mcintosh,36553,31.264957,-88.028369,48713,54529
AL,Maplesville,36750,32.788282,-86.876651,30427,38304
AL,Fairfield,35064,33.455197,-86.922633,39817,37964
AL,Mobile,36606,30.668426,-88.100226,38231,50855
AL,Moulton,35650,34.488302,-87.282707,28180,39942
AL,Muscle Shoals,35661,34.743692,-87.633774,49109,48170
AL,Newbern,36765,32.591672,-87.535614,17389,31851
AL,Northport,35476,33.257975,-87.59647,54115,47114
AL,Opelika,36801,32.660739,-85.37889,40430,48856
AL,Panola,35477,32.946819,-88.262264,6190,29054
AL,Ozark,36867,32.461669,-85.025021,79218,52491
AL,Deatsville,36022,32.579539,-86.454318,57698,41175
AL,Prattville,36067,32.461908,-86.457385,39054,39602
AL,Red Bay,35582,34.436097,-88.136515,29055,33077
AL,Andalusia,36421,31.352397,-86.544609,25895,48015
AL,Cleveland,35049,33.992756,-86.500325,44609,39231
AL,Shelby,35143,33.106882,-86.585403,45844,53244
AL,Smiths Station,36877,32.534662,-85.111341,45637,48651
AL,Sumiton,35148,33.749269,-87.046903,39657,46146
AL,Tallassee,36078,32.532665,-85.891993,50493,42845
AL,Mobile,36619,30.581533,-88.21278,47636,45298
AL,Tuscaloosa,35406,33.234404,-87.5283,38843,54867
AL,Valley,36854,32.828953,-85.169386,39263,40901
AL,Vincent,35178,33.383145,-86.402544,0,0
