zip_code,count,median
60089,2,102256
90305,1,34421
60402,1,52331
90304,2,36108
90755,1,36506
11217,3,71494
10467,2,25840
91303,1,88567
75039,1,0
90262,6,41431
11224,1,44938
77386,1,58424
90210,1,208338
94118,3,63551
24201,4,25864
60176,1,62081
93277,7,87021
10003,5,300000
10282,1,0
90638,3,96936
91801,3,104023
90064,5,300000
90047,2,26090
90004,2,37893
77503,1,51664
22030,2,300000
90242,6,76695
10462,3,50224
37066,2,57335
77381,3,74749
10025,3,300000
75232,1,300000
90710,1,48109
32011,3,25171
77379,4,48975
11101,2,40506
77385,2,90121
75063,5,73694
60616,1,44154
93536,2,57343
77017,1,47364
75218,2,55994
7024,1,74430
60657,3,58437
32065,1,88279
77089,1,300000
90018,2,37415
90740,2,65316
90723,4,45286
90230,2,300000
77095,3,41168
10027,2,128764
52601,6,300000
11220,1,38931
90212,1,89224
32119,1,39156
90019,2,42865
91506,1,300000
11379,1,57353
94109,5,105824
77301,3,56057
75212,1,27521
10128,1,129437
11373,1,28666
77035,4,71137
22305,1,52927
77449,2,300000
11377,2,300000
90712,3,99591
90280,9,42954
75244,1,151318
90802,2,28386
11201,4,105949
60060,1,77622
11420,1,45629
94121,2,131522
75061,2,52672
93722,2,53793
75238,2,34726
75028,5,75687
22314,3,99420
11214,1,45784
92833,5,300000
90606,3,58849
60191,1,64058
90660,6,73063
77004,1,20333
10452,3,29544
11236,2,73363
22304,2,201141
60035,1,141411
90039,1,300000
90302,4,32606
11105,2,65991
75042,2,24891
11211,3,87129
10451,4,13246
94112,1,83574
90062,3,38509
75010,1,82207
91754,1,60854
11233,1,59463
60018,8,55845
60659,1,72810
60002,1,70658
20190,3,142406
75214,4,64156
7201,4,42072
90025,7,97041
22204,2,300000
91770,2,66462
10028,1,35461
91206,2,300000
10001,1,40262
22201,2,300000
22307,1,124984
10314,2,108326
60056,3,131178
10034,2,49572
22044,3,197065
75243,5,0
32244,1,37446
11432,1,49395
90717,3,140323
92102,1,30825
11203,3,54670
32205,2,300000
60085,4,46446
90059,1,12486
93703,4,21914
90266,5,206024
10032,2,17598
11222,2,63790
60605,1,15307
91605,1,26032
10009,1,23603
93312,4,68372
32128,1,83574
90015,1,36291
93711,1,83707
60073,2,43465
90605,2,300000
90731,1,55848
91107,2,24459
91604,2,300000
32210,2,21983
90805,7,52217
10014,1,96567
11229,1,67319
93534,2,56932
90221,4,43934
90016,5,25753
10458,1,45215
10471,2,93413
90278,2,300000
32114,5,33511
20121,2,106122
90043,5,31219
11213,1,33732
32003,3,300000
77071,1,33782
10029,5,58119
32254,2,25471
77380,1,300000
91602,1,76209
60106,2,65622
60624,1,37367
32127,4,42981
90301,3,32736
90220,2,43250
10031,2,0
37075,2,101195
77099,3,30582
77045,2,50593
75206,4,81177
32225,2,100253
60645,2,58498
90250,10,40862
76014,1,300000
10453,1,24947
60660,3,64803
75070,2,101768
93304,4,56986
37620,3,38962
90241,3,53192
60612,2,11398
90022,3,44387
37043,1,48077
77006,2,43092
60160,1,40406
10461,1,47243
32304,1,11275
75150,5,66697
77389,1,300000
90670,3,60661
90303,5,80697
77339,7,96054
75062,5,300000
11106,3,0
60153,1,29894
10301,1,0
22206,1,99406
37207,1,22611
10469,1,69658
92841,1,67012
92130,1,132606
77479,1,67678
75093,1,93560
91502,1,35793
37042,2,52917
37027,5,121721
94107,3,120979
90806,3,37827
94127,1,300000
93727,1,300000
11226,2,32427
93311,1,91187
90245,5,86968
11385,4,64342
90042,5,49009
10033,1,56347
20164,3,300000
90601,1,78658
90046,3,46897
90049,1,300000
90403,1,156861
22207,2,300000
75041,5,37138
32073,3,43800
75044,1,56935
60015,1,300000
10475,3,41374
92110,1,122111
90602,1,48157
94114,2,300000
11372,2,46396
32303,1,39098
92804,1,300000
90201,9,56738
60618,4,109819
75231,2,26723
32301,2,48248
10016,1,68128
75020,1,300000
60014,3,76573
94117,1,300000
77477,3,56852
75224,2,37844
75001,2,70948
11207,4,19694
60706,1,45630
91103,1,44804
22041,1,65204
90048,2,62610
91205,3,39268
10040,1,76494
77030,2,102799
60631,1,88435
93313,2,46767
90650,7,300000
90023,6,19354
75007,4,65585
75219,2,126166
75154,1,57921
20120,1,115256
75201,2,74606
77450,1,102269
75081,2,83502
60013,1,300000
94123,1,110331
22302,1,121631
91030,3,55405
90501,4,63008
11369,3,300000
93955,1,20035
75205,2,215868
22180,3,300000
75074,6,105287
10024,2,300000
60646,1,111554
90044,6,27101
90045,8,107969
77005,3,300000
90027,3,64881
90620,2,73636
10455,1,21900
11238,2,65566
90808,3,300000
93704,1,75728
93308,3,35774
60640,2,62188
22033,3,300000
77306,1,39848
93420,2,63124
75077,3,300000
94103,1,17195
93710,3,30873
90505,4,300000
11378,2,49897
10036,4,0
60546,1,60063
75215,1,19549
60108,1,65615
90745,5,57020
77081,2,21377
90035,3,77492
90746,3,48895
37210,1,300000
11230,2,48180
93305,3,52669
75034,5,300000
22003,1,82442
90503,2,300000
93292,4,32526
75204,2,84399
60016,2,65670
90036,5,300000
77346,2,68943
60046,1,69791
90814,1,47193
75067,7,300000
10019,6,69242
77489,1,47940
37013,5,43894
20147,4,119556
93612,1,46353
90703,3,96089
75287,1,32230
10002,2,91469
75116,1,47424
10454,2,38649
75115,1,58616
77070,1,65430
90255,8,27107
91601,1,40557
75056,5,300000
77032,3,51439
75050,2,34200
37203,4,23571
60004,2,95962
22306,1,58295
11237,6,62611
77057,2,59601
10026,2,25997
60647,2,66598
94131,2,94516
90292,2,94781
90002,3,18303
90640,4,49628
60025,4,69189
94709,1,35427
90291,3,117987
37217,4,27852
90630,3,300000
10459,3,24844
60644,2,37632
60091,1,300000
10010,1,151229
90502,5,63800
60642,1,74140
92101,1,69051
32216,2,66153
77478,2,80183
90061,1,44268
60607,6,125702
75240,3,71788
11103,4,82248
11210,3,48829
90813,2,24828
60090,1,58788
20110,2,72878
37206,2,300000
11419,1,41819
11212,1,37854
90810,3,94556
60131,1,36424
20155,1,105372
90041,3,59408
32224,2,300000
75248,2,86387
60154,1,300000
11221,1,45627
60714,1,76515
11416,2,50644
10022,3,17622
75002,1,169040
77072,3,300000
60067,4,300000
90007,3,38672
75052,3,104518
93726,2,46592
77494,1,141709
75023,7,300000
10013,3,54857
92683,1,43211
90744,3,31470
93720,2,43176
60656,1,64415
90504,4,300000
91402,2,42001
91803,3,58614
91316,1,300000
94102,2,21830
90240,2,300000
90038,3,47458
90001,8,30036
75019,7,300000
32117,2,25573
11367,1,60024
90008,3,70607
93307,1,18277
75149,1,43792
93611,2,89265
90066,2,116703
32034,1,22789
91204,4,55120
22202,1,113550
94611,1,62784
60614,2,54244
90604,4,62108
91406,1,39263
91324,2,44427
93306,4,59094
94124,3,92794
90631,2,72539
77304,4,64826
60712,1,56994
60047,1,157184
22203,1,65963
90026,4,93139
77090,1,29351
90011,4,25700
22151,1,300000
60087,1,39088
75051,1,46591
7020,2,300000
90706,2,300000
90032,3,38818
20109,5,50724
75060,1,31748
11218,1,44950
37167,4,79894
77401,2,300000
90275,1,105522
77098,2,172493
37204,3,54579
32308,1,42408
90248,3,300000
75225,1,300000
90037,5,24958
77345,1,86673
60053,3,300000
90405,5,46977
90033,4,300000
75071,6,82641
77096,2,133447
90024,1,91139
90063,3,52980
60031,4,300000
92844,1,55347
11234,1,100578
20151,5,300000
11104,2,67771
60005,1,83407
90065,3,300000
20170,4,300000
90003,6,34678
90804,1,39139
75043,3,62805
94115,1,141923
60064,1,45288
90270,4,21049
32118,2,28511
75075,4,26215
76226,1,300000
77338,2,60475
20165,1,115029
90249,4,52730
32068,1,49944
10457,4,19175
90247,2,35604
7208,1,48002
11216,3,43209
94133,2,82929
10460,3,14119
77034,2,39263
11368,1,72674
10021,5,0
10704,1,300000
60164,1,42306
60104,1,300000
7302,1,40321
10463,2,24253
90031,1,27902
11354,1,57563
93291,4,25640
77056,2,45189
