"zip_code","count","median"
"90680",12,47046
"90755",22,36506
"22182",52,113602
"90043",47,31219
"91730",4,85634
"90247",54,35604
"11210",32,48829
"90260",43,45831
"60189",3,83140
"10002",112,91469
"91202",6,113952
"93536",9,57343
"90242",55,76695
"93726",45,46592
"95014",11,300000
"91340",6,66670
"32254",8,25471
"75206",100,81177
"93306",21,59094
"90808",40,300000
"77304",26,64826
"93534",20,56932
"90502",40,63800
"20191",18,101584
"93308",14,35774
"60707",28,300000
"75149",18,43792
"11419",5,41819
"90723",29,45286
"92104",17,54831
"90804",33,39139
"22193",16,125048
"75246",13,26736
"60608",17,48321
"90036",61,300000
"90638",39,96936
"75232",5,300000
"90807",50,77305
"77840",1,21529
"77035",16,71137
"10471",7,93413
"60130",21,51303
"93291",27,25640
"91303",14,88567
"77450",25,102269
"37217",13,27852
"77396",4,16245
"93703",32,21914
"94124",13,92794
"90201",83,56738
"10701",5,80933
"11207",34,19694
"11374",15,80384
"75240",45,71788
"10010",27,151229
"77346",18,68943
"11361",1,0
"94609",7,79518
"94109",53,105824
"90732",1,300000
"94085",7,115034
"90660",65,73063
"91331",5,36414
"90221",56,43934
"11101",69,40506
"10474",7,25806
"60653",2,58519
"90746",65,48895
"60101",12,50570
"90815",81,63316
"37167",13,79894
"60631",5,88435
"37210",14,300000
"10282",1,0
"95020",1,81326
"11213",32,33732
"94611",11,62784
"90606",25,58849
"90302",37,32606
"75028",62,75687
"11220",18,38931
"95403",4,51561
"77053",1,300000
"75094",2,116815
"11418",6,71093
"32205",24,300000
"92113",11,30148
"60188",6,300000
"32034",4,22789
"11377",53,300000
"90620",53,73636
"93311",10,91187
"22043",28,155572
"77478",30,80183
"10003",87,300000
"60630",5,59734
"20147",114,119556
"94117",61,300000
"10001",68,40262
"37066",14,57335
"32119",25,39156
"91306",16,300000
"10451",96,13246
"11435",4,66568
"90005",38,25809
"60010",4,142459
"60048",4,36002
"20132",12,300000
"22030",156,300000
"32570",4,55854
"77301",28,56057
"92111",2,36188
"60609",4,19340
"90212",31,89224
"90301",41,32736
"90034",85,300000
"11368",38,72674
"10304",2,50258
"60515",7,89987
"11231",9,120695
"20120",14,115256
"10022",59,17622
"91401",11,54369
"10028",71,35461
"60137",5,119299
"32063",3,43196
"32128",1,83574
"75210",2,20605
"32210",14,21983
"75078",4,94555
"22314",214,99420
"92843",2,36354
"32256",6,51507
"22079",2,118625
"75069",4,59038
"75229",5,128666
"11354",23,57563
"90254",19,117114
"93711",30,83707
"77096",40,133447
"11232",17,47512
"92107",1,92153
"11235",18,46412
"94086",1,112812
"93305",12,52669
"10027",93,128764
"90740",18,65316
"94121",25,131522
"77019",4,55778
"60607",57,125702
"90064",56,300000
"91776",18,47607
"37209",10,48481
"93955",3,20035
"91706",1,42556
"90019",79,42865
"76014",3,300000
"95002",1,76559
"75081",56,83502
"32301",16,48248
"90305",9,34421
"60064",4,45288
"60644",17,37632
"75214",35,64156
"91604",41,300000
"90049",11,300000
"93445",2,48931
"75208",19,43461
"37013",24,43894
"90802",35,28386
"60546",27,60063
"60651",9,24711
"93304",26,56986
"75010",24,82207
"91403",15,63169
"77090",6,29351
"90022",48,44387
"94118",51,63551
"75150",54,66697
"77345",10,86673
"91754",19,60854
"90059",28,12486
"94606",6,63541
"90024",75,91139
"22192",68,78914
"77089",5,300000
"10550",8,50932
"60008",43,78572
"60804",16,35830
"60525",1,56695
"91335",35,59693
"20190",104,142406
"75223",3,35556
"22152",4,147960
"90504",42,300000
"92116",12,37570
"60646",14,111554
"22033",90,300000
"94578",2,300000
"20148",18,300000
"90293",12,71650
"22206",40,99406
"93612",74,46353
"77031",3,57194
"32244",12,37446
"11225",41,37779
"75074",40,105287
"10473",14,22136
"10302",13,74564
"90018",20,37415
"32011",7,25171
"92105",4,300000
"11224",4,44938
"77007",4,86219
"90012",41,15956
"20110",116,72878
"10032",49,17598
"20171",52,73413
"60108",4,65615
"22181",4,300000
"60025",34,69189
"11229",14,67319
