zip_code_h,count,median
11233,6,59463
32117,10,25573
60035,10,141411
92832,2,92860
10454,5,38649
77095,18,41168
94122,28,109102
60077,22,60332
20109,43,50724
77345,8,86673
90066,18,116703
60148,19,58725
90813,24,24828
90242,27,76695
22015,14,138532
60615,1,22997
32246,12,76513
10453,6,24947
60181,12,73947
77090,6,29351
60618,35,109819
60804,14,35830
94609,3,79518
60651,6,24711
11373,23,28666
32250,2,67066
91356,10,44404
37086,1,50233
90274,1,157006
32570,1,55854
90094,5,90712
60653,2,58519
90405,21,46977
77573,1,91692
7010,1,84918
10462,19,50224
93728,12,23315
7104,1,22745
90058,6,21613
11213,11,33732
10030,4,67666
11216,19,43209
60126,11,56797
94109,22,105824
90211,1,60080
22079,1,118625
22203,23,65963
37208,7,27995
60164,5,42306
60085,15,46446
60608,14,48321
77034,12,39263
90601,7,78658
60645,8,58498
91745,1,57321
60130,9,51303
60090,17,58788
11211,38,87129
75182,3,124918
75022,12,125217
90404,12,94342
10461,16,47243
90016,17,25753
60613,23,117215
91214,1,86533
92840,2,0
90292,22,94781
75228,11,32787
90029,20,28797
90807,29,77305
32095,1,97150
93308,14,35774
11385,24,64342
77379,39,48975
91411,4,22542
22202,27,113550
90025,40,97041
90262,27,41431
94116,10,60686
90068,6,98295
60187,3,41008
10466,5,36703
32129,8,36907
11231,6,120695
10013,11,54857
75015,15,34086
90032,12,38818
11434,1,77485
75208,15,43461
32065,12,88279
10310,2,38803
60106,7,65622
60641,11,38893
75051,17,46591
77450,24,102269
91761,2,43681
11239,2,20205
90275,5,105522
75246,7,26736
91340,5,66670
22150,30,88102
10014,12,96567
11102,8,81067
75078,4,94555
60607,35,125702
90038,17,47458
90302,12,32606
75010,13,82207
77346,18,68943
90720,10,43461
91106,14,35231
94607,8,39174
22193,7,125048
37043,11,48077
32119,11,39156
91406,19,39263
77306,2,39848
90046,20,46897
60153,6,29894
75211,13,23286
37064,1,114508
37013,24,43894
32097,5,70640
93304,21,56986
60061,13,51711
90303,26,80697
46815,1,63695
77386,6,58424
60176,9,62081
77004,1,20333
90621,11,52358
60626,10,42875
93449,14,94742
94112,17,83574
90210,9,208338
56308,1,40667
10023,6,160021
20111,7,86659
90018,7,37415
37924,1,50774
75244,12,151318
