zip_code,count,median
76002,1,88599
60089,3,102256
60402,1,52331
37040,3,24986
91345,3,300000
10710,1,65355
91436,1,183484
94122,3,109102
94086,1,112812
90755,3,36506
11217,3,71494
91356,2,44404
11225,1,37779
91303,2,88567
77547,1,44231
22301,1,300000
75039,3,0
90262,3,41431
11224,1,44938
77386,2,58424
90210,2,208338
94118,3,63551
91741,3,300000
60068,4,300000
24201,1,25864
60176,1,62081
93277,4,87021
10003,2,300000
92835,1,300000
91775,1,300000
11205,1,300000
90638,3,96936
91801,3,104023
90064,2,300000
94043,1,97043
77503,1,51664
22030,5,300000
77357,1,57057
60202,2,80386
90242,3,76695
95051,2,108998
94080,4,96033
37066,1,57335
77381,6,74749
10025,1,300000
94089,2,90728
75232,2,300000
22312,4,300000
77379,5,48975
91011,2,300000
11101,3,40506
94612,2,78171
77385,2,90121
75063,8,73694
91730,3,85634
32221,1,80713
60634,1,54001
37212,3,0
91306,1,300000
93536,1,57343
60613,1,117215
95014,4,300000
75218,3,55994
77546,1,76498
60657,8,58437
94134,2,300000
77089,2,300000
92106,1,300000
90740,5,65316
22303,1,86214
90230,3,300000
77095,2,41168
52601,1,300000
11220,3,38931
90212,4,89224
32119,2,39156
91104,1,300000
90019,4,42865
75146,1,52072
91506,4,300000
75035,3,300000
75203,2,28055
94109,3,105824
10128,3,129437
77301,3,56057
91606,4,41169
11373,1,28666
77449,5,300000
90712,6,99591
75244,2,151318
32311,1,38546
90802,7,28386
11201,8,105949
60060,1,77622
91024,1,90293
11433,1,47327
94121,3,131522
75217,1,37875
75061,2,52672
93722,3,53793
75238,3,34726
75028,4,75687
22314,7,99420
11214,2,45784
92833,2,300000
90606,2,58849
77036,1,20792
90660,2,73063
22304,2,201141
60035,3,141411
90039,4,300000
91331,3,36414
11105,4,65991
10451,1,13246
11211,5,87129
94702,1,46329
94112,4,83574
60187,2,41008
93535,3,38578
91754,1,60854
11233,1,59463
60018,3,55845
60659,3,72810
60002,2,70658
20190,4,142406
75214,2,64156
90025,3,97041
22204,1,300000
91770,1,66462
60622,2,65457
20111,1,86659
91206,1,300000
10001,1,40262
22201,2,300000
92105,1,300000
22307,1,124984
10314,1,108326
60056,4,131178
22044,1,197065
91325,3,61041
75032,2,0
75243,8,0
32244,2,37446
11432,1,49395
90717,2,140323
75180,1,55512
91352,1,76038
11232,2,47512
22031,1,159997
32205,1,300000
90059,1,12486
93703,3,21914
90266,1,206024
11222,2,63790
60605,3,15307
91016,1,70785
60010,1,142459
91605,1,26032
93702,2,24284
10009,1,23603
93312,2,68372
75235,3,55033
94607,3,39174
22152,1,147960
90803,3,104705
93711,3,83707
60073,3,43465
93721,3,27171
90605,2,300000
11375,1,103910
60107,1,300000
91107,3,24459
90807,3,77305
91604,5,300000
