zip_code,count,median
60089,3,102256
92840,2,0
90305,2,34421
60402,8,52331
90304,5,36108
37040,2,24986
91345,1,300000
90755,2,36506
11217,4,71494
11225,4,37779
10467,6,25840
91303,3,88567
75039,2,0
90262,3,41431
11224,1,44938
77386,2,58424
90058,1,21613
37086,1,50233
94118,2,63551
60068,2,300000
24201,9,25864
60176,2,62081
93277,13,87021
10003,2,300000
11205,3,300000
90638,4,96936
91801,1,104023
90064,4,300000
92118,1,300000
75078,2,94555
90004,1,37893
90047,5,26090
77503,2,51664
47501,1,41463
22030,4,300000
60202,1,80386
90242,6,76695
10462,6,50224
94080,2,96033
37066,3,57335
77381,2,74749
10025,4,300000
90710,1,48109
32011,3,25171
22312,4,300000
77379,14,48975
11101,6,40506
77385,1,90121
11204,4,51028
75063,9,73694
60616,1,44154
10039,1,33393
32221,1,80713
60634,2,54001
93536,2,57343
77017,1,47364
35739,1,36690
60613,7,117215
75218,4,55994
37208,3,27995
7024,3,74430
60657,5,58437
75223,1,35556
32065,6,88279
77089,1,300000
90018,1,37415
22032,2,128472
90740,1,65316
90723,7,45286
22303,1,86214
90230,5,300000
77095,5,41168
10027,6,128764
52601,4,300000
11220,3,38931
32119,4,39156
91104,3,300000
90019,4,42865
75035,2,300000
75203,1,28055
11379,1,57353
94109,1,105824
77301,8,56057
75212,1,27521
10128,2,129437
91208,1,300000
11373,6,28666
77035,2,71137
22305,1,52927
77449,1,300000
11377,3,300000
90712,10,99591
10473,5,22136
90280,15,42954
75244,4,151318
90802,3,28386
11201,7,105949
60060,2,77622
75217,2,37875
75061,6,52672
93722,2,53793
75238,2,34726
75028,9,75687
22314,1,99420
11214,2,45784
22205,1,172306
92833,2,300000
90606,4,58849
77036,5,20792
90660,9,73063
10452,6,29544
11236,6,73363
22304,6,201141
90039,1,300000
32211,2,39645
90302,2,32606
60051,1,300000
11105,1,65991
75042,4,24891
11211,3,87129
10451,5,13246
94112,2,83574
93535,2,38578
90062,2,38509
75010,5,82207
91754,2,60854
11233,2,59463
60018,6,55845
60659,6,72810
60002,5,70658
20190,2,142406
75214,2,64156
11228,1,68875
7201,4,42072
90025,4,97041
22204,3,300000
91770,2,66462
10028,3,35461
60622,6,65457
20111,3,86659
91206,1,300000
10001,1,40262
22201,3,300000
10314,4,108326
60056,5,131178
10034,3,49572
22044,4,197065
75243,12,0
32244,5,37446
90717,5,140323
22310,1,300000
11203,5,54670
75180,2,55512
91352,1,76038
11232,1,47512
22031,2,159997
32205,2,300000
60085,4,46446
90059,3,12486
93703,2,21914
90266,1,206024
10032,3,17598
11222,4,63790
60605,1,15307
91605,1,26032
10009,3,23603
93312,12,68372
75235,9,55033
94607,1,39174
90015,1,36291
60609,2,19340
90803,1,104705
60073,5,43465
90605,3,300000
11375,2,103910
91107,2,24459
90807,9,77305
32210,4,21983
60171,1,300000
90805,12,52217
10014,2,96567
93534,2,56932
90221,5,43934
11415,1,82191
90016,7,25753
75252,2,300000
10458,8,45215
10471,1,93413
90278,4,300000
32114,2,33511
20121,3,106122
90043,4,31219
11213,4,33732
32003,6,300000
77071,2,33782
10029,8,58119
32254,2,25471
77380,7,300000
91790,2,300000
60106,2,65622
60624,3,37367
91106,1,35231
90301,4,32736
90220,6,43250
10031,5,0
37075,6,101195
77099,6,30582
77045,8,50593
75206,5,81177
10465,1,300000
75220,5,39393
32225,6,100253
60645,1,58498
92801,5,47315
90250,9,40862
60201,2,69616
10453,3,24947
60126,2,56797
60101,1,50570
60660,1,64803
11208,5,52769
75070,7,101768
93304,5,56986
37620,5,38962
90241,7,53192
60612,1,11398
90022,7,44387
37043,4,48077
60160,6,40406
90005,2,25809
77084,3,300000
22042,6,300000
10461,6,47243
75150,10,66697
77389,5,300000
90222,4,28460
75209,2,44734
90670,8,60661
90303,9,80697
77339,10,96054
22102,2,222333
75062,5,300000
11106,3,0
75234,11,74707
32277,1,42273
60153,3,29894
10466,3,36703
77083,1,300000
94601,1,40160
22206,1,99406
37207,2,22611
10469,3,69658
11219,2,27801
92841,1,67012
77479,1,67678
75093,5,93560
37042,2,52917
37027,5,121721
75229,2,128666
90806,5,37827
93727,4,300000
11226,10,32427
93311,4,91187
