zip_code,count,median
60089,4,102256
60402,4,52331
90304,4,36108
94122,1,109102
90755,1,36506
91356,1,44404
10467,1,25840
91303,2,88567
22301,1,300000
75039,2,0
90262,8,41431
77386,1,58424
90210,2,208338
94118,4,63551
91741,1,300000
60068,1,300000
24201,1,25864
60176,1,62081
93277,7,87021
10003,4,300000
11205,3,300000
90638,5,96936
91801,5,104023
90064,3,300000
94043,1,97043
75078,1,94555
90047,3,26090
22030,6,300000
90242,6,76695
10462,2,50224
94080,4,96033
37066,2,57335
77381,4,74749
10025,2,300000
90710,2,48109
77379,3,48975
11101,2,40506
94612,2,78171
77385,2,90121
11204,1,51028
75063,9,73694
60616,1,44154
60634,1,54001
37212,1,0
93536,1,57343
77017,1,47364
60613,6,117215
75218,3,55994
60657,9,58437
75223,1,35556
90018,1,37415
92106,1,300000
90740,2,65316
90723,4,45286
22303,2,86214
90230,10,300000
77095,3,41168
52601,4,300000
11220,1,38931
90212,2,89224
91104,6,300000
90019,2,42865
91506,1,300000
75035,4,300000
11379,2,57353
94109,2,105824
77301,4,56057
75212,2,27521
91606,1,41169
11373,2,28666
77035,2,71137
22305,1,52927
77449,2,300000
11377,7,300000
90712,6,99591
90280,9,42954
75244,3,151318
90802,4,28386
11201,5,105949
60060,3,77622
60070,1,300000
94121,2,131522
75061,1,52672
93722,4,53793
75238,3,34726
75028,4,75687
11214,1,45784
22205,1,172306
92833,3,300000
90606,5,58849
77036,1,20792
90660,11,73063
11236,2,73363
22304,1,201141
60035,1,141411
90039,5,300000
90302,1,32606
91331,1,36414
11105,4,65991
75042,4,24891
11211,10,87129
10451,2,13246
94702,1,46329
94112,5,83574
90062,1,38509
75010,1,82207
91754,3,60854
60018,6,55845
60002,1,70658
60133,1,300000
20190,4,142406
75214,3,64156
90094,2,90712
7201,2,42072
90025,10,97041
22204,1,300000
91770,1,66462
10028,3,35461
60622,7,65457
20111,1,86659
22201,2,300000
92105,3,300000
10314,1,108326
60056,4,131178
10034,4,49572
22044,2,197065
91325,1,61041
75243,5,0
90717,1,140323
92102,3,30825
22310,1,300000
91780,1,19836
75180,1,55512
91352,5,76038
11232,2,47512
22031,4,159997
60085,4,46446
90059,3,12486
93703,3,21914
91214,1,86533
90266,6,206024
10032,2,17598
11222,2,63790
60605,2,15307
60010,1,142459
91605,3,26032
93702,5,24284
93312,6,68372
75235,5,55033
90015,3,36291
22152,1,147960
91723,1,64833
90803,8,104705
93711,4,83707
22101,2,300000
93721,2,27171
90605,6,300000
11375,5,103910
60107,1,300000
91107,5,24459
90807,8,77305
91604,6,300000
32210,1,21983
90805,7,52217
10014,1,96567
11229,1,67319
93534,3,56932
90221,3,43934
90016,2,25753
75252,4,300000
10458,2,45215
10471,1,93413
90278,1,300000
32114,2,33511
20121,3,106122
90043,2,31219
32003,2,300000
91733,1,33670
10029,4,58119
77380,2,300000
91602,1,76209
60106,1,65622
75069,1,59038
20136,1,134710
91106,2,35231
90301,4,32736
93725,1,32819
90220,4,43250
10031,3,0
93445,1,48931
37075,1,101195
77573,1,91692
77099,1,30582
77045,1,50593
75206,8,81177
10465,1,300000
75220,6,39393
32225,2,100253
60645,1,58498
92801,5,47315
90250,7,40862
10453,1,24947
91740,1,300000
60101,2,50570
60660,1,64803
11208,2,52769
75070,2,101768
93304,4,56986
90241,6,53192
60612,2,11398
90022,9,44387
37043,3,48077
60160,1,40406
90005,1,25809
77084,1,300000
22042,1,300000
10461,1,47243
22046,1,116916
75150,1,66697
77389,1,300000
91423,2,78022
90222,3,28460
75209,3,44734
90670,3,60661
90303,4,80697
77339,1,96054
22102,3,222333
75062,9,300000
11106,4,0
75234,4,74707
60093,1,218355
94601,11,40160
22206,2,99406
37207,1,22611
11219,1,27801
92841,1,67012
60189,1,83140
60137,1,119299
77479,2,67678
75093,7,93560
91502,2,35793
37042,1,52917
37027,6,121721
94107,1,120979
90806,4,37827
94127,2,300000
11226,1,32427
93311,1,91187
90245,9,86968
11385,5,64342
90042,9,49009
10033,1,56347
20164,2,300000
90601,1,78658
90046,6,46897
20171,3,73413
94608,2,20114
90049,2,300000
90403,2,156861
22207,1,300000
75041,4,37138
90720,1,43461
32073,2,43800
90716,3,96094
75044,2,56935
60015,2,300000
75015,1,34086
10475,3,41374
92110,1,122111
90602,6,48157
60602,4,62317
32246,2,76513
94114,4,300000
60632,2,300000
11372,3,46396
10038,3,49704
92804,5,300000
90201,11,56738
91403,1,63169
60618,6,109819
90293,1,71650
75231,7,26723
32301,3,48248
10016,1,68128
60014,5,76573
94117,5,300000
91701,1,34071
77477,3,56852
75001,4,70948
11207,2,19694
60706,1,45630
60061,1,51711
94132,1,67378
60074,3,300000
22041,3,65204
90048,5,62610
91205,5,39268
75208,7,43461
10040,3,76494
32097,1,70640
77019,2,55778
77030,1,102799
93313,1,46767
90650,11,300000
90023,5,19354
92832,2,92860
75007,3,65585
75219,5,126166
11215,4,73722
77429,6,70037
91343,2,85144
75201,5,74606
94085,1,115034
77450,5,102269
75081,4,83502
10011,2,100393
60062,2,101106
93433,4,300000
75233,1,22560
22193,1,125048
94123,6,110331
91030,1,55405
90501,5,63008
11369,1,300000
75205,5,215868
22180,1,300000
95002,1,76559
75074,7,105287
75098,1,84934
10024,3,300000
77504,1,78790
60646,1,111554
90044,2,27101
90045,8,107969
77005,2,300000
37216,2,38760
22150,3,88102
90027,6,64881
90620,3,73636
10455,2,21900
11238,6,65566
90808,3,300000
60181,2,73947
93704,2,75728
93308,3,35774
60640,2,62188
22033,4,300000
93420,5,63124
75077,5,300000
94103,5,17195
93710,4,30873
90505,6,300000
11378,1,49897
10036,1,0
60546,4,60063
10023,1,160021
60108,1,65615
90745,4,57020
77081,4,21377
90701,3,61821
20169,2,96442
90746,8,48895
11230,1,48180
93305,6,52669
91201,1,70374
75034,5,300000
90503,3,300000
20152,2,52723
93292,1,32526
75204,4,84399
60016,4,65670
90036,3,300000
77346,1,68943
22039,1,300000
60626,3,42875
60046,1,69791
77007,1,86219
90814,2,47193
91950,1,13276
77382,1,121972
60651,1,24711
75067,9,300000
94015,4,300000
10019,2,69242
22311,1,47374
10801,1,76469
37013,1,43894
20147,6,119556
93612,9,46353
90703,3,96089
75287,2,32230
10002,1,91469
75116,2,47424
77070,2,65430
22124,1,120625
90255,10,27107
91601,2,40557
75056,8,300000
77032,2,51439
75050,2,34200
37203,8,23571
60004,5,95962
20148,1,300000
11237,9,62611
77057,2,59601
93449,1,94742
11421,1,93891
10026,1,25997
60647,11,66598
10803,1,212250
90292,6,94781
90640,10,49628
91405,6,37333
11356,1,0
60025,3,69189
94709,1,35427
90291,4,117987
37217,1,27852
90630,8,300000
60008,2,78572
60644,2,37632
10010,3,151229
11206,4,52856
92113,4,30148
60048,1,36002
20191,1,101584
90502,1,63800
92101,3,69051
32216,1,66153
91791,1,104414
7002,2,42240
77478,5,80183
90061,1,44268
60607,2,125702
75240,4,71788
94129,1,300000
91302,1,300000
11210,3,48829
90813,7,24828
60090,3,58788
20110,5,72878
37206,1,300000
90713,3,75940
90810,1,94556
60131,1,36424
20155,5,105372
90041,9,59408
92115,1,28255
75248,2,86387
77375,1,136637
60154,1,300000
11221,1,45627
60139,1,65160
60714,3,76515
75228,1,32787
75002,4,169040
11209,3,95157
77072,1,300000
11358,1,74232
60162,1,52069
60067,2,300000
90007,2,38672
75052,3,104518
93726,6,46592
91776,4,47607
37214,1,76631
77494,2,141709
75023,2,300000
60623,2,33943
10013,1,54857
92683,3,43211
94116,1,60686
90744,6,31470
93720,3,43176
60656,1,64415
90504,3,300000
91402,4,42001
93728,4,23315
91803,2,58614
94102,3,21830
92104,4,54831
90240,1,300000
90038,2,47458
11223,2,33741
90001,2,30036
75019,4,300000
32117,1,25573
90008,3,70607
75025,1,300000
93307,1,18277
91335,5,59693
75149,1,43792
93611,5,89265
90066,2,116703
91204,5,55120
60804,5,35830
22202,3,113550
10310,1,38803
94611,1,62784
60614,7,54244
90604,3,62108
91406,3,39263
91324,6,44427
93306,3,59094
90631,9,72539
77304,5,64826
77502,3,34116
60712,1,56994
60047,2,157184
22203,3,65963
90026,5,93139
77090,1,29351
90011,6,25700
75051,2,46591
75057,3,100153
7020,1,300000
90706,7,300000
90032,5,38818
10304,1,50258
20109,4,50724
77840,1,21529
91731,1,55648
75060,3,31748
11218,5,44950
37167,2,79894
77098,2,172493
37204,3,54579
32308,1,42408
90248,6,300000
75225,1,300000
90037,3,24958
77345,1,86673
91504,1,63799
60053,2,300000
90405,5,46977
90033,6,300000
75071,1,82641
77096,1,133447
10468,2,36911
60525,1,56695
90024,6,91139
90063,4,52980
60031,2,300000
11234,1,100578
20151,6,300000
60005,3,83407
90065,6,300000
20170,5,300000
90003,1,34678
90804,5,39139
75043,4,62805
94115,2,141923
32063,1,43196
90270,3,21049
75075,5,26215
60625,2,65824
75068,1,42947
77338,6,60475
20165,1,115029
92821,1,64980
91340,1,66670
90249,5,52730
10457,1,19175
22191,2,300000
90247,4,35604
91401,2,54369
11216,3,43209
94133,2,82929
10460,1,14119
77034,2,39263
60641,3,38893
10021,1,0
91001,1,300000
60164,1,42306
60104,1,300000
32250,2,67066
91367,2,72104
75087,2,300000
7302,2,40321
10463,3,24253
10306,2,86687
90031,8,27902
94014,1,74953
93291,3,25640
77056,1,45189
75246,1,26736
90815,5,63316
60707,4,300000
60172,2,97129
60050,1,300000
90012,1,15956
75211,1,23286
10065,1,118775
60077,4,60332
91101,8,43316
75006,10,79305
93309,8,42479
60608,6,48321
75230,3,108288
32217,1,16659
91505,5,300000
77388,1,109613
11231,3,120695
22315,1,141414
94108,2,56013
75065,2,77070
91311,2,90602
37211,1,300000
60639,6,44634
22192,2,78914
94110,30,38568
60007,4,48822
10472,1,29713
90260,4,45831
75022,2,125217
92103,1,88389
90010,1,300000
90680,2,47046
75024,4,93054
22015,3,138532
94501,2,43007
90621,1,52358
10305,2,91021
90034,6,300000
75080,6,62412
10004,4,0
91304,2,41995
60130,1,51303
75040,9,63817
60610,5,97367
90029,5,28797
37209,1,48481
90254,5,117114
90006,2,28469
90028,4,83180
37215,1,129747
90404,3,94342
92116,3,37570
60148,3,58725
77031,1,57194
