zip_code,count,median
60089,2,102256
60402,4,52331
37040,3,24986
94122,6,109102
90755,1,36506
91356,2,44404
10467,2,25840
91303,2,88567
75039,1,0
90262,2,41431
11224,1,44938
94118,1,63551
91741,1,300000
93277,1,87021
10003,1,300000
92835,1,300000
11205,1,300000
90638,5,96936
77503,2,51664
22030,3,300000
60202,2,80386
90242,1,76695
95051,1,108998
10462,2,50224
94080,1,96033
37066,2,57335
32570,1,55854
32011,1,25171
22312,2,300000
77379,5,48975
11101,2,40506
75063,1,73694
60616,1,44154
32221,1,80713
60634,1,54001
37212,1,0
91306,3,300000
37924,1,50774
93536,2,57343
77017,1,47364
60613,4,117215
37208,2,27995
32233,1,32107
60657,4,58437
32065,2,88279
77089,1,300000
90018,1,37415
22032,1,128472
90740,1,65316
90723,2,45286
22303,4,86214
90230,3,300000
52601,3,300000
90212,2,89224
91104,2,300000
91506,1,300000
75035,2,300000
75203,1,28055
94109,3,105824
77301,5,56057
10128,1,129437
91606,3,41169
91208,1,300000
22305,2,52927
77449,2,300000
90712,3,99591
90280,1,42954
32311,1,38546
90802,2,28386
11201,2,105949
60060,2,77622
60070,1,300000
11420,1,45629
94121,2,131522
75061,1,52672
93722,1,53793
75238,1,34726
75028,1,75687
22314,1,99420
22205,1,172306
92833,1,300000
90606,1,58849
60191,1,64058
90660,2,73063
11236,1,73363
22304,3,201141
60035,2,141411
90302,1,32606
60051,1,300000
11105,2,65991
75042,3,24891
11211,1,87129
10451,1,13246
94112,1,83574
93535,1,38578
75010,1,82207
91754,1,60854
60018,2,55845
60659,2,72810
60002,1,70658
20190,1,142406
90025,2,97041
22204,2,300000
20111,1,86659
22201,3,300000
10314,1,108326
60056,5,131178
22044,1,197065
92111,1,36188
91325,3,61041
75032,1,0
75243,1,0
32244,1,37446
90717,2,140323
92102,1,30825
22310,3,300000
46815,1,63695
91352,1,76038
22031,3,159997
32205,2,300000
60085,2,46446
22153,1,170583
90266,3,206024
60605,1,15307
91605,1,26032
93702,1,24284
75235,1,55033
90803,2,104705
60073,1,43465
22101,3,300000
90605,4,300000
90731,1,55848
11375,2,103910
91107,2,24459
90807,2,77305
91604,3,300000
90805,2,52217
11229,1,67319
93534,2,56932
90221,1,43934
75252,1,300000
90278,2,300000
32114,2,33511
20121,2,106122
32003,2,300000
77071,1,33782
32254,1,25471
77380,3,300000
91790,1,300000
91602,2,76209
20136,1,134710
32127,1,42981
91106,2,35231
90301,2,32736
90220,3,43250
91702,1,76099
10031,2,0
37075,3,101195
77099,1,30582
75206,6,81177
75220,2,39393
32225,1,100253
60645,1,58498
60188,1,300000
90250,2,40862
76014,1,300000
60201,1,69616
91740,1,300000
60126,2,56797
60660,2,64803
11208,1,52769
75070,3,101768
37620,2,38962
90241,1,53192
60160,1,40406
77084,2,300000
22042,2,300000
22046,3,116916
75150,2,66697
77389,2,300000
90303,2,80697
77339,3,96054
22102,2,222333
75062,2,300000
10301,1,0
94601,3,40160
10469,2,69658
77479,1,67678
75093,4,93560
91502,4,35793
37042,2,52917
37027,1,121721
75229,1,128666
91326,1,300000
90806,3,37827
94127,1,300000
22213,1,140585
90245,1,86968
11385,3,64342
10033,1,56347
20164,4,300000
90601,2,78658
90046,1,46897
20171,2,73413
90049,1,300000
90403,1,156861
22207,3,300000
75041,1,37138
90720,2,43461
32073,2,43800
90716,1,96094
32174,1,38699
75044,1,56935
60015,2,300000
92110,1,122111
32246,1,76513
94114,1,300000
60302,1,98137
32256,1,51507
22309,1,65387
32303,1,39098
92804,1,300000
90201,2,56738
91403,2,63169
60618,1,109819
75231,2,26723
32301,1,48248
75020,1,300000
60014,1,76573
94117,3,300000
77477,1,56852
75001,1,70948
11207,1,19694
60706,2,45630
60074,2,300000
22041,6,65204
91205,1,39268
75208,1,43461
91007,1,52547
91344,3,300000
20132,1,300000
75007,4,65585
75219,1,126166
90274,1,157006
91724,1,62609
77429,2,70037
91343,2,85144
