Name,Type,Address,Zip Code
"('Bangin Buns',)",hotdogs,"('1457 E Florence Ave',)","('90001',)"
"('The Buffalo Spot - Huntington Park',)",hotdogs,"('5918 Pacific Blvd',)","('90255',)"
"('In-N-Out Burger',)",burgers,"('6000 Pacific Blvd',)","('90255',)"
"(""Rally's"",)",burgers,"('7207 South Avalon Boulevard',)","('90003',)"
"('Johns Drive-In Hamburgers',)",burgers,"('6625 E Santa Fe Ave',)","('90255',)"
"(""McDonald's"",)",hotdogs,"('2303 E Florence Ave',)","('90255',)"
"(""Tam's Burgers No 7"",)",burgers,"('5023 S Central Ave',)","('90011',)"
"('Jack in the Box',)",hotdogs,"('1355 E Florence Ave',)","('90001',)"
"(""Bill's Drive In"",)",burgers,"('1664 E Florence Ave',)","('90001',)"
"('Taco Bell',)",hotdogs,"('2543 Slauson Ave',)","('90255',)"
"('Chick-fil-A',)",hotdogs,"('3758 S Figueroa St',)","('90007',)"
"('Monty’s Chicken & Waffles',)",waffles,"('358 W 38th St',)","('90037',)"
"('China King Express',)",chinese,"('1901 E Gage Ave',)","('90001',)"
"('Jack in the Box',)",hotdogs,"('2601 E Slauson Ave',)","('90255',)"
"(""McDonald's"",)",burgers,"('1118 Slauson Ave',)","('90011',)"
"('Fatburger',)",burgers,"('5867 Central Ave',)","('90001',)"
"('El Pollo Loco',)",hotdogs,"('4405 Avalon Blvd',)","('90011',)"
"('El Pariente',)",mexican,"('7400 Pacific Blvd',)","('90255',)"
"('The Garbage Truck',)",foodtrucks,"('',)","('90001',)"
"(""Carl's Jr"",)",hotdogs,"('1439 E Gage Ave',)","('90001',)"
"('WaBa Grill',)",hotdogs,"('5857 S Central Ave',)","('90001',)"
"('Tacos Los Tomateros',)",hotdogs,"('7625 S Alameda St',)","('90001',)"
"(""McDonald's"",)",hotdogs,"('3737 Soto St',)","('90058',)"
"('Yoshinoya',)",japanese,"('1802 E. Slauson Ave.',)","('90058',)"
"(""Lucy's Restaurant"",)",burgers,"('7313 S Central Ave',)","('90001',)"
"('The Los Angeles Banh Mi Company',)",vietnamese,"('2479 E Florence Ave',)","('90255',)"
"('Chipotle Mexican Grill',)",mexican,"('2110 E Florence Ave',)","('90255',)"
"(""Tam's Burgers No 27"",)",burgers,"('2850 E Slauson Ave',)","('90255',)"
"('Panda Express',)",chinese,"('5867 S. Central Avenue',)","('90001',)"
"(""Original Tommy's World Famous Hamburgers"",)",burgers,"('7200 Seville Ave',)","('90255',)"
"('Boys Burgers',)",burgers,"('1774 E Florence Ave',)","('90001',)"
"(""Albert's Mexican Food"",)",mexican,"('6915 Santa Fe Ave',)","('90255',)"
"('Birrieria Jalisco',)",mexican,"('7714 Compton Ave',)","('90001',)"
"('Tacos Gavilan',)",mexican,"('4380 S Broadway',)","('90037',)"
"('Wingstop',)",chicken_wings,"('2124 E Florence Ave',)","('90255',)"
"(""Andy's Pizzeria And Mexican Food"",)",pizza,"('6700 S Central Ave',)","('90001',)"
"(""Tom's Jr"",)",burgers,"('1500 E Slauson Ave',)","('90011',)"
"('Taco Bell',)",tex-mex,"('8515 S Central Ave',)","('90001',)"
"('Panda Express',)",chinese,"('2120 E. Florence Ave',)","('90255',)"
"('Guajillo Restaurant',)",mexican,"('6480 Santa Fe Ave',)","('90255',)"
"('Jack in the Box',)",burgers,"('7120 S Broadway',)","('90003',)"
"('Figueroa Philly Cheese Steak',)",cheesesteaks,"('358 W 38th St',)","('90037',)"
"(""Z's Place"",)",tradamerican,"('3805 S Soto St',)","('90058',)"
"(""Carl's Jr"",)",hotdogs,"('2401 E Florence Ave',)","('90255',)"
"('La Carreta',)",mexican,"('1471 E Vernon Ave',)","('90011',)"
"('Burger King',)",burgers,"('1202 Firestone Blvd',)","('90001',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('8530 Figueroa St',)","('90003',)"
"('El Pollo Loco',)",hotdogs,"('101 E Manchester Ave',)","('90003',)"
"('El Pollo Loco',)",mexican,"('2501 E Slauson Ave',)","('90255',)"
"('The Original Snack Shack',)",burgers,"('5630 S Central Ave',)","('90011',)"
"(""McDonald's"",)",hotdogs,"('11800 Wilmington Ave',)","('90059',)"
"(""Rally's"",)",burgers,"('7207 South Avalon Boulevard',)","('90003',)"
"('Wendy’s',)",hotdogs,"('3297 Tweedy Blvd',)","('90280',)"
"('Popeyes Louisiana Kitchen',)",chicken_wings,"('1653 103rd St',)","('90002',)"
"('Jack in the Box',)",burgers,"('10307 S Central Ave',)","('90002',)"
"('Louisiana Famous Fried Chicken',)",chicken_wings,"('9101 S Central Ave',)","('90002',)"
"('Hawkins House of Burgers',)",burgers,"('11603 Slater St',)","('90059',)"
"('Hercules',)",burgers,"('2825 E Imperial Hwy',)","('90262',)"
"('In-N-Out Burger',)",burgers,"('6000 Pacific Blvd',)","('90255',)"
"('Taco Bell',)",mexican,"('11758 S Wilmington',)","('90059',)"
"('El Pollo Loco',)",hotdogs,"('101 E Manchester Ave',)","('90003',)"
"(""McDonald's"",)",hotdogs,"('2303 E Florence Ave',)","('90255',)"
"('The Garbage Truck',)",foodtrucks,"('',)","('90001',)"
"('Taco Bell',)",mexican,"('9919 South Avalon Blvd',)","('90003',)"
"('Taco Bell',)",tex-mex,"('8515 S Central Ave',)","('90001',)"
"('Burger King',)",burgers,"('1673 103rd St',)","('90002',)"
"('The Burger Palace',)",burgers,"('100 E Manchester Ave',)","('90003',)"
"('Wingstop',)",chicken_wings,"('10007 S Central Ave.',)","('90002',)"
"('Burger King',)",burgers,"('1202 Firestone Blvd',)","('90001',)"
"('The Buffalo Spot - Huntington Park',)",hotdogs,"('5918 Pacific Blvd',)","('90255',)"
"('Tacos Los Tomateros',)",hotdogs,"('7625 S Alameda St',)","('90001',)"
"(""Lucy's Restaurant"",)",burgers,"('7313 S Central Ave',)","('90001',)"
"(""Bill's Drive In"",)",burgers,"('1664 E Florence Ave',)","('90001',)"
"('Johns Drive-In Hamburgers',)",burgers,"('6625 E Santa Fe Ave',)","('90255',)"
"(""Bobo's Hamburgers"",)",burgers,"('1220 E Firestone Blvd',)","('90001',)"
"('Eatgud Cafe',)",cafes,"('3008 Tweedy Blvd',)","('90280',)"
"('Jack in the Box',)",hotdogs,"('1355 E Florence Ave',)","('90001',)"
"('All Flavor No Grease',)",foodtrucks,"('728 E 108th St',)","('90059',)"
"(""McDonald's"",)",hotdogs,"('10011 S Avalon Blvd',)","('90003',)"
"(""McDonald's"",)",burgers,"('8681 S Alameda St',)","('90002',)"
"(""Carl's Jr / Green Burrito"",)",hotdogs,"('2310 Firestone Blvd',)","('90280',)"
"('Boys Burgers',)",burgers,"('1774 E Florence Ave',)","('90001',)"
"('Chicken N Roll',)",southern,"('11111 Wilmington Ave',)","('90059',)"
"('El Pollo Loco',)",hotdogs,"('12800 Avalon Blvd',)","('90061',)"
"(""Bobo's Hamburgers"",)",breakfast_brunch,"('2709 Firestone Blvd',)","('90280',)"
"(""Rally's"",)",burgers,"('3234 East Florence',)","('90255',)"
"('KFC',)",hotdogs,"('11864 Wilmington Ave',)","('90059',)"
"(""Church's Chicken"",)",chicken_wings,"('1030 East Manchester',)","('90001',)"
"('Jack in the Box',)",hotdogs,"('2601 E Slauson Ave',)","('90255',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('8530 Figueroa St',)","('90003',)"
"('OS Louisiana Fish & Grill',)",fishnchips,"('11816 Wilmington Ave',)","('90059',)"
"(""Original Tommy's World Famous Hamburgers"",)",burgers,"('7200 Seville Ave',)","('90255',)"
"('The Los Angeles Banh Mi Company',)",vietnamese,"('2479 E Florence Ave',)","('90255',)"
"('El Pariente',)",mexican,"('7400 Pacific Blvd',)","('90255',)"
"('Birrieria Jalisco',)",mexican,"('7714 Compton Ave',)","('90001',)"
"('KFC',)",hotdogs,"('8515 S Central Ave',)","('90001',)"
"(""Wendy's"",)",hotdogs,"('3297 Tweedy Blvd',)","('90280',)"
"('Balam Mexican Kitchen',)",mexican,"('11700 Long Beach Blvd',)","('90262',)"
"('Burger King',)",burgers,"('1090 Fremont Blvd',)","('93955',)"
"('King Taco',)",mexican,"('12102 Long Beach Blvd',)","('90262',)"
"(""Rally's"",)",burgers,"('7207 South Avalon Boulevard',)","('90003',)"
"('The Burger Palace',)",burgers,"('100 E Manchester Ave',)","('90003',)"
"('El Pollo Loco',)",hotdogs,"('101 E Manchester Ave',)","('90003',)"
"('Jack in the Box',)",hotdogs,"('11400 S Figueroa St',)","('90061',)"
"('Jack in the Box',)",burgers,"('805 W Manchester Ave',)","('90044',)"
"(""McDonald's"",)",hotdogs,"('101 W Manchester Ave',)","('90003',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('8530 Figueroa St',)","('90003',)"
"('Louisiana Famous Fried Chicken',)",chicken_wings,"('9101 S Central Ave',)","('90002',)"
"(""Tam's Burgers No 7"",)",burgers,"('5023 S Central Ave',)","('90011',)"
"('Jack in the Box',)",burgers,"('7120 S Broadway',)","('90003',)"
"('Tacos Gavilan',)",mexican,"('4380 S Broadway',)","('90037',)"
"(""Tam's Burgers"",)",burgers,"('500 W Manchester Ave',)","('90044',)"
"('El Pollo Loco',)",hotdogs,"('1360 W Imperial Ave',)","('90044',)"
"('The Garbage Truck',)",foodtrucks,"('',)","('90001',)"
"(""McDonald's"",)",burgers,"('501 W Imperial Hwy',)","('90044',)"
"(""Lucy's Restaurant"",)",burgers,"('7313 S Central Ave',)","('90001',)"
"('Taco Bell',)",mexican,"('9919 South Avalon Blvd',)","('90003',)"
"('Taco Bell',)",tex-mex,"('8515 S Central Ave',)","('90001',)"
"(""McDonald's"",)",hotdogs,"('11800 Wilmington Ave',)","('90059',)"
"(""McDonald's"",)",hotdogs,"('505 W Florence Ave',)","('90044',)"
"('All Flavor No Grease',)",foodtrucks,"('728 E 108th St',)","('90059',)"
"('Wings & Pot',)",chicken_wings,"('2108 W Manchester Ave',)","('90047',)"
"(""Roscoe's House of Chicken & Waffles - South LA"",)",soulfood,"('106 W Manchester Ave',)","('90003',)"
"('Taco Bell',)",mexican,"('5801 S. Vermont Ave.',)","('90044',)"
"(""Charlie's Famous Fried Chicken"",)",chickenshop,"('1824 W Manchester Ave',)","('90047',)"
"(""Fred's Burger"",)",burgers,"('5950 S Vermont Ave',)","('90044',)"
"('Hawkins House of Burgers',)",burgers,"('11603 Slater St',)","('90059',)"
"(""Bill's Drive In"",)",burgers,"('1664 E Florence Ave',)","('90001',)"
"('Authentic Philly At The Corner',)",cheesesteaks,"('1855 W Manchester Ave',)","('90047',)"
"('Jack in the Box',)",hotdogs,"('7201 S Western Ave',)","('90047',)"
"('A & T Burgers',)",burgers,"('9401 Avalon Blvd',)","('90003',)"
"('Wingstop',)",chicken_wings,"('8330 S Vermont Ave',)","('90044',)"
"('Yoshinoya',)",japanese,"('539 East Florence Ave.',)","('90003',)"
"('Jack in the Box',)",burgers,"('10307 S Central Ave',)","('90002',)"
"('Toms Jr Burgers Express',)",burgers,"('722 W Florence Ave',)","('90044',)"
