Name,Type,Address,Zip Code
"('Chick-fil-A',)",hotdogs,"('1541 County Road 220',)","('32003',)"
"('Chipotle Mexican Grill',)",hotdogs,"('1607 County Rd 220',)","('32003',)"
"('Sonic Drive-In',)",hotdogs,"('1801 Town Center Blvd',)","('32003',)"
"(""Zaxby's Chicken Fingers & Buffalo Wings"",)",hotdogs,"('1525 County Road 220',)","('32003',)"
"('Tijuana Flats',)",mexican,"('1647 CR 220',)","('32003',)"
"('Five Guys',)",burgers,"('1571 County Rd 220',)","('32003',)"
"(""Wendy's"",)",hotdogs,"('1575 Island Lane',)","('32003',)"
"('Sushi Cafe',)",sushi,"('5000 County Rd 220',)","('32003',)"
"('Firehouse Subs',)",sandwiches,"('1581 Cr 220',)","('32003',)"
"('Taco Bell',)",hotdogs,"('1635 CR 220',)","('32003',)"
"(""McDonald's"",)",burgers,"('5000 US Hwy 17',)","('32003',)"
"('The Loop Pizza Grill',)",salad,"('1960 E West Pkwy',)","('32003',)"
"('Pizza Hut',)",pizza,"('5000 US Hwy 17 S',)","('32003',)"
"('Papa Johns Pizza',)",pizza,"('4315 US Hwy 17',)","('32003',)"
"(""Chili's"",)",bars,"('2005 E West Pkwy',)","('32003',)"
"('Burger King',)",burgers,"('4319 Hwy 17',)","('32003',)"
"('Margaritas',)",mexican,"('3535 US Hwy 17',)","('32003',)"
"(""Hardee's"",)",hotdogs,"('542309 US Hwy 1',)","('32011',)"
"(""Wendy's"",)",burgers,"('542285 US Hwy 1',)","('32011',)"
"(""McDonald's"",)",hotdogs,"('542361 US Hwy 1',)","('32011',)"
"('Burger King',)",burgers,"('542370 US Hwy 1',)","('32011',)"
"('Popeyes',)",hotdogs,"('450047 State Rd 200',)","('32011',)"
"(""Domino's Pizza"",)",pizza,"('450092 State Road 200',)","('32011',)"
"('Burger King',)",burgers,"('1856 S Kings Rd',)","('32011',)"
"('Sonic Drive-In',)",hotdogs,"('463939 Sr 200 A1A',)","('32097',)"
"('Firehouse Subs',)",sandwiches,"('1978 S 8th St',)","('32034',)"
"('Huddle House',)",breakfast_brunch,"('463949 State Road 200',)","('32097',)"
"('Tropical Smoothie Cafe',)",juicebars,"('463909 Sr 200',)","('32097',)"
"('Panera Bread',)",salad,"('463861 State Road 200',)","('32097',)"
"('Parkway Grille Inc',)",breakfast_brunch,"('5517 S Fletcher Ave',)","('32034',)"
"('Chipotle Mexican Grill',)",mexican,"('463913 E State Road 200',)","('32097',)"
"('Burger King',)",burgers,"('1940 S 8th St',)","('32034',)"
"('Subway',)",sandwiches,"('1722 S 8th St 7',)","('32034',)"
"('Waffle House',)",breakfast_brunch,"('1495 S 6th St',)","('32063',)"
"('Pizza Hut',)",pizza,"('1202 S 6th St',)","('32063',)"
"('Taco Bell',)",mexican,"('1215 S 6th St',)","('32063',)"
"('Pizza Hut',)",pizza,"('625 S Ohio Ave',)","('32060',)"
"(""Wendy's"",)",burgers,"('Highway 129 N',)","('32060',)"
"('Burger King',)",burgers,"('6458 US Highway 129',)","('32060',)"
"(""Wendy's"",)",burgers,"('6691 Us Hwy. 129',)","('32060',)"
"('Circle K',)",convenience,"('804 Blanding Blvd',)","('32065',)"
"('Papa Johns Pizza',)",pizza,"('950 Blanding Blvd',)","('32065',)"
"('Burger King',)",burgers,"('1092 Blanding Blvd',)","('32065',)"
"('Circle K',)",convenience,"('338 College Dr',)","('32065',)"
"('Panda Express',)",chinese,"('901 Blanding Blvd.',)","('32065',)"
"('Pizza Hut',)",pizza,"('868 Blanding Blvd',)","('32065',)"
"(""McDonald's"",)",hotdogs,"('899 Blanding Blvd',)","('32065',)"
"('Wawa',)",coffee,"('1563 Blanding Blvd',)","('32068',)"
"('Subway',)",sandwiches,"('1543 Blanding Blvd',)","('32068',)"
"('Whataburger',)",burgers,"('1778 Blanding Blvd',)","('32068',)"
"('Papa Johns Pizza',)",pizza,"('2696 Blanding Blvd',)","('32068',)"
"('Pizza Hut',)",pizza,"('2475 Blanding Blvd',)","('32068',)"
"('Steak ’n Shake',)",hotdogs,"('1681 Wells Rd',)","('32073',)"
"('Charleys Cheesesteaks',)",sandwiches,"('1910 Wells Rd',)","('32073',)"
"('Panda Express',)",chinese,"('1907 Well Road',)","('32073',)"
"(""Culver's"",)",burgers,"('7923 Parramore Rd',)","('32244',)"
"('Taco Bell',)",hotdogs,"('54 Blanding Blvd',)","('32073',)"
"('Chipotle Mexican Grill',)",hotdogs,"('8635 Blanding Blvd',)","('32244',)"
"('Pizza Hut',)",pizza,"('2285 Kingsley Ave',)","('32073',)"
"(""Arby's"",)",hotdogs,"('896 Blanding Blvd',)","('32065',)"
"('KFC',)",hotdogs,"('17 Blanding Blvd',)","('32073',)"
"(""Wendy's"",)",hotdogs,"('6021 Argyle Forest Blvd.',)","('32244',)"
"('Mission BBQ',)",tradamerican,"('8440 Blanding Blvd',)","('32244',)"
"('Firehouse Subs',)",sandwiches,"('2285-B Kingsley Ave',)","('32073',)"
"('Sonic Drive-In',)",hotdogs,"('908 Blanding Blvd',)","('32065',)"
"('Philly Connection',)",sandwiches,"('6001 Argyle Forest Blvd',)","('32244',)"
"('Firehouse Subs',)",sandwiches,"('36B Blanding Blvd',)","('32073',)"
"(""Grumpy's Restaurant"",)",breakfast_brunch,"('834 Kingsley Ave',)","('32073',)"
"(""Larry's Giant Subs"",)",sandwiches,"('8102 Blanding Blvd',)","('32244',)"
"('Circle K',)",convenience,"('804 Blanding Blvd',)","('32065',)"
"(""Captain D's"",)",seafood,"('318 Blanding Blvd',)","('32073',)"
"('Circle K',)",servicestations,"('8496 Blanding Blvd',)","('32244',)"
"('IHOP',)",breakfast_brunch,"('315 Blanding Blvd',)","('32073',)"
"('Little Caesars',)",pizza,"('1690 Wells Rd',)","('32073',)"
"('Chick-fil-A',)",hotdogs,"('1910 Wells Rd',)","('32073',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('7762 Argyle Forest Blvd',)","('32244',)"
"(""McDonald's"",)",burgers,"('372 Blanding Blvd',)","('32073',)"
"('Taco Bell',)",hotdogs,"('938 Blanding Blvd',)","('32065',)"
"('Dairy Queen Grill & Chill',)",hotdogs,"('348 Blanding Blvd',)","('32073',)"
"('One Night Taco Stand',)",tacos,"('1861 Wells Rd',)","('32073',)"
"(""Jersey Mike's Subs"",)",hotdogs,"('410 Blanding Blvd',)","('32073',)"
"('Kravegan Where Food Is Love',)",vegan,"('1910 Wells Rd Food Court',)","('32073',)"
"('Taco Bell',)",tex-mex,"('Orange Park Mall',)","('32073',)"
"('Burger King',)",burgers,"('1680 Wells Rd',)","('32073',)"
"('The Sheik Sandwiches No 7',)",sandwiches,"('1994 Kingsley Ave',)","('32073',)"
"(""McDonald's"",)",hotdogs,"('1083 Blanding Blvd',)","('32065',)"
"('Circle K',)",convenience,"('1890 Kingsley Ave',)","('32073',)"
"('The Jeepney Stop',)",filipino,"('6625 Argyle Forest Blvd',)","('32244',)"
"('Krystal',)",hotdogs,"('337 Park Ave',)","('32073',)"
"('Bite Me Hotdogs and More',)",hotdog,"('1022 Blanding Blvd',)","('32073',)"
"(""Jersey Mike's Subs"",)",hotdogs,"('7091 Collins Rd',)","('32244',)"
"(""Wendy's"",)",burgers,"('753 Park St.',)","('32073',)"
"('Papa Johns Pizza',)",pizza,"('950 Blanding Blvd',)","('32065',)"
"('Dairy Queen',)",icecream,"('610 Kingsley Ave',)","('32073',)"
"(""McDonald's"",)",hotdogs,"('428 Park Ave',)","('32073',)"
"('Panda Express',)",chinese,"('901 Blanding Blvd.',)","('32065',)"
"('Pizza Hut',)",pizza,"('868 Blanding Blvd',)","('32065',)"
"('The Urban Bean Coffeehouse Cafe',)",coffee,"('2023 Park Ave',)","('32073',)"
"(""Wendy's"",)",hotdogs,"('1110 Blanding Blvd',)","('32065',)"
"('Pizza Hut',)",pizza,"('8102 Blanding Blvd',)","('32244',)"
"('Papa Johns Pizza',)",pizza,"('4315 US Hwy 17',)","('32003',)"
"(""McDonald's"",)",hotdogs,"('7784 Blanding Blvd',)","('32244',)"
"('Papa Johns Pizza',)",pizza,"('801 S Ponce De Leon Blvd',)","('32084',)"
"('Circle K',)",servicestations,"('4564 US Hwy 1 N',)","('32095',)"
"(""Jimmy John's"",)",sandwiches,"('1000 South Ponce De Leon Blvd',)","('32084',)"
"('Circle K',)",convenience,"('800 S Ponce De Leon Blvd',)","('32084',)"
"('Subway',)",sandwiches,"('2195 State Rd 16',)","('32084',)"
"('Taco Bell',)",mexican,"('2140 W International Speedway Blvd',)","('32114',)"
"(""Wendy's"",)",hotdogs,"('2120 Lpga Blvd',)","('32117',)"
"('WingHouse Bar & Grill',)",sportsbars,"('250 N Atlantic Ave',)","('32118',)"
"(""Chili's"",)",bars,"('2510 W International Speedway Blvd',)","('32114',)"
"('Checkers',)",burgers,"('575 W International Speedway Blvd',)","('32114',)"
"('Daytona Taproom',)",beerbar,"('310 Seabreeze Blvd',)","('32118',)"
"('Johnny Rockets',)",burgers,"('250 N Atlantic Ave',)","('32118',)"
"('Charleys Cheesesteaks and Wings',)",sandwiches,"('1101 Belville Rd',)","('32119',)"
"('Papa Johns Pizza',)",pizza,"('1506 South Nova Road',)","('32114',)"
"(""McDonald's"",)",hotdogs,"('151 Ridgewood Ave',)","('32117',)"
"(""McDonald's"",)",burgers,"('2994 US Hwy 92',)","('32124',)"
"(""Jimmy John's"",)",sandwiches,"('151 S Ridgewood Ave',)","('32114',)"
"('Burger King',)",burgers,"('225 N Atlantic Ave',)","('32118',)"
"('Brickyard Lounge and Grill',)",sportsbars,"('747 W International Speedway Blvd',)","('32114',)"
"('Taco Bell',)",mexican,"('1408 Beville Rd',)","('32114',)"
"('Burger King',)",burgers,"('1436 W International',)","('32114',)"
"('Rock Bottom Restaurant & Brewery',)",breweries,"('1864 Victory Circle Bldg K',)","('32114',)"
"('Honey Baked Ham Company',)",meats,"('345 Bill France Blvd',)","('32114',)"
"(""Jimmy John's"",)",delis,"('2258 W International Speedway Blvd',)","('32114',)"
"(""McDonald's"",)",hotdogs,"('1121 Beville Rd',)","('32119',)"
"('Hog Heaven Bar-B-Q',)",bbq,"('37 N Atlantic Ave',)","('32118',)"
"('KFC',)",hotdogs,"('948 Mason Ave',)","('32117',)"
"('Salsas Cocina Daytona Beach',)",mexican,"('1115 Cornerstone Blvd',)","('32117',)"
"('Java Moon Cafe',)",hotdogs,"('700 Catalina Dr',)","('32114',)"
"(""Arby's"",)",hotdogs,"('2453 W. INTERNATIONAL SPEEDWAY BLVD.',)","('32114',)"
"('Checkers',)",burgers,"('898 Nova Rd',)","('32117',)"
"('Circle K',)",convenience,"('1800 S Nova Rd',)","('32119',)"
"('Olive Garden Italian Restaurant',)",italian,"('1780 W International Speedway Blvd',)","('32114',)"
"('Pizza Hut',)",pizza,"('832 N Nova Rd',)","('32117',)"
"('Burger King',)",burgers,"('825 Nova Rd',)","('32117',)"
"('Burger King',)",burgers,"('112 N Ridgewood Ave',)","('32114',)"
"('Pizza Hut',)",pizza,"('1500 Beville Rd',)","('32114',)"
"(""Domino's Pizza"",)",pizza,"('211 N Atlantic Ave',)","('32118',)"
"(""Steve's Famous Diner"",)",burgers,"('1584 S Nova Rd',)","('32114',)"
"(""Jimmy John's"",)",sandwiches,"('3661 S Clyde Morris Blvd',)","('32129',)"
"(""McDonald's"",)",coffee,"('1101 Beville Rd',)","('32119',)"
"('Papa Johns Pizza',)",pizza,"('30 South Atlantic Avenue',)","('32118',)"
"('Mardi Gras Cafe Daytona',)",hotdog,"('250 N Atlantic Ave',)","('32118',)"
"(""Jersey Mike's Subs"",)",sandwiches,"('1808 W International Speedway Blvd',)","('32114',)"
"(""Church's Chicken"",)",chicken_wings,"('988-A E Orange Ave',)","('32114',)"
"(""Arby's"",)",hotdogs,"('1562 Outlet Blvd',)","('32117',)"
"('Checkers',)",burgers,"('898 Nova Rd',)","('32117',)"
