Name,Type,Address,Zip Code
"('The Hungry Bear',)",tradamerican,"('1700 Sunnyside Ave',)","('52601',)"
"('Billy Sims BBQ',)",bbq,"('2750 Mt Pleasant',)","('52601',)"
"('A&W Restaurant',)",seafood,"('1414 N Roosevelt Ave',)","('52601',)"
"('Taco Bell',)",mexican,"('2761 Mt Pleasant Street',)","('52601',)"
"('Sonic Drive-In',)",burgers,"('225 Legacy Dr',)","('52601',)"
"(""McDonald's"",)",burgers,"('1725 Roosevelt Rd',)","('52601',)"
"('Napoli Pizza & Restaurant',)",pizza,"('115 N 3rd St',)","('52601',)"
"('Pancheros Mexican Grill',)",mexican,"('1035 Lawrence Ave',)","('52601',)"
"(""Culver's"",)",hotdogs,"('919 Lawrence Dr',)","('52601',)"
"(""Hardee's"",)",burgers,"('907 Lawrence Dr',)","('52601',)"
"(""Taco John's"",)",hotdogs,"('119 S Roosevelt Ave',)","('52601',)"
"('Burger King',)",burgers,"('120 S Roosevelt',)","('52601',)"
"(""Wendy's"",)",burgers,"('115 South Roosevelt',)","('52601',)"
"(""McDonald's"",)",burgers,"('900 Wellshire Dr',)","('52601',)"
"('Casa Fiesta',)",mexican,"('2806 Mt Pleasant St',)","('52601',)"
"('Perkins Restaurant & Bakery',)",bakeries,"('3300 Agency Rd',)","('52601',)"
"(""Jimmy John's"",)",delis,"('3310 W Agency Rd',)","('52601',)"
"('The Drake',)",bars,"('106 Washington St',)","('52601',)"
"('KFC',)",hotdogs,"('345 North Roosevelt Road',)","('52601',)"
"(""Grandpa's Homemade Ice Cream"",)",icecream,"('600 S Roosevelt Ave',)","('52601',)"
"(""Queso's Mexican Bar & Grill - Burlington"",)",mexican,"('321 N Roosevelt Ave',)","('52601',)"
"('Dairy Queen',)",icecream,"('1228 N Roosevelt Rd',)","('52601',)"
"('Pizza Hut',)",pizza,"('1410 N Roosevelt Ave',)","('52601',)"
"('Papa Johns Pizza',)",pizza,"('3310 Agency St',)","('52601',)"
"('Dairy Queen',)",icecream,"('715 S Main St',)","('52601',)"
"(""Applebee's Grill + Bar"",)",tradamerican,"('116 S Roosevelt',)","('52601',)"
"(""Arby's"",)",hotdogs,"('405 S Roosevelt Ave',)","('52601',)"
"(""Arby's"",)",hotdogs,"('501 W Il Route 173',)","('60002',)"
"(""McDonald's"",)",hotdogs,"('1150 Main St',)","('60002',)"
"('Sammies',)",hotdogs,"('216 N Milwaukee Ave',)","('60046',)"
"(""Jimmy John's"",)",delis,"('478 E Rte 173',)","('60002',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('483 E Route 173',)","('60002',)"
"('Burger King',)",burgers,"('338 W Il Route 173',)","('60002',)"
"('Taco Bell',)",mexican,"('322 W State Route 173',)","('60002',)"
"('R-Dogs',)",hotdog,"('400 E Grand Ave',)","('60046',)"
"('KFC',)",hotdogs,"('325 W Il Route 173',)","('60002',)"
"('Rivalry Alehouse',)",bars,"('945 Main St',)","('60002',)"
"('Johnnys Snack Shop',)",pizza,"('1500 Main St',)","('60002',)"
"('Char Dogs',)",hotdog,"('24480 W Grass Lake Rd',)","('60002',)"
"('Antioch Pizza Shop',)",pizza,"('1856 E Grand Ave',)","('60046',)"
"('Subway',)",sandwiches,"('1120 Main St',)","('60002',)"
"(""McDonald's"",)",burgers,"('431 E Grand',)","('60046',)"
"(""Anastasia's Restaurant, Sports Lounge & Banquets"",)",sportsbars,"('950 Hillside Ave',)","('60002',)"
"('Dairy Queen',)",icecream,"('966 Main St',)","('60002',)"
"('Reflections On Deep Lake',)",tradamerican,"('38564 N Edgewood St',)","('60046',)"
"(""Bubbakoo's Burritos"",)",tex-mex,"('115 West Rand Rd',)","('60004',)"
"(""Garibaldi's Italian Eatery"",)",pizza,"('1960 N Arlington Heights Rd',)","('60004',)"
"('Chick-fil-A',)",hotdogs,"('950 N Elmhurst Rd',)","('60056',)"
"('Sonic Drive-In',)",hotdogs,"('1151 East Dundee Rd',)","('60074',)"
"(""Heffy's Hot Dogs"",)",burgers,"('1520 N Elmhurst Rd',)","('60056',)"
"(""Culver's"",)",hotdogs,"('1765 N Rand Rd',)","('60074',)"
"('Dengeos Restaurant',)",greek,"('195 W Dundee Rd',)","('60089',)"
"(""McDonald's"",)",hotdogs,"('1920 N Arlington Heights Rd',)","('60004',)"
"('Capri Deli & Pizza',)",delis,"('1625 N Rand Rd',)","('60074',)"
"('Corner Bakery',)",sandwiches,"('470 E Rand Rd',)","('60004',)"
"('Grill 12',)",burgers,"('1350 E Rand Rd',)","('60004',)"
"('Potbelly Sandwich Shop',)",sandwiches,"('1520 E Lake Cook Rd',)","('60089',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('7 W Dundee Rd',)","('60004',)"
"('Burger King',)",hotdogs,"('1515 W Dundee Rd',)","('60089',)"
"('QDOBA Mexican Eats',)",mexican,"('1025 W Dundee Rd',)","('60004',)"
"('Pizza Hut',)",pizza,"('15 W Dundee Rd',)","('60004',)"
"('Taco Bell',)",hotdogs,"('1224 E. Dundee Rd.',)","('60067',)"
"('Skippers Restaurant',)",greek,"('120 S Elmhurst Rd',)","('60090',)"
"(""Culver's"",)",hotdogs,"('2060 Northwest Hwy',)","('60004',)"
"('El Rey Del Pollo Asado',)",mexican,"('1114 E Dundee Rd',)","('60074',)"
"('Chipotle Mexican Grill',)",mexican,"('338 E Rand Rd',)","('60004',)"
"('WynBurg Cafe',)",breakfast_brunch,"('306 East Rand Rd',)","('60004',)"
"(""McDonald's"",)",burgers,"('1576 N Rand Rd',)","('60067',)"
"(""Jimmy John's"",)",sandwiches,"('1299 E Rand Rd',)","('60004',)"
"(""Jersey Mike's Subs"",)",hotdogs,"('783 E Dundee Rd',)","('60074',)"
"('Café Zupas',)",salad,"('1590 E Lake Cook Rd',)","('60089',)"
"(""McDonald's"",)",hotdogs,"('1570 E Northwest Hwy',)","('60074',)"
"('China Kitchen',)",chinese,"('1402 E Hintz Rd',)","('60004',)"
"('Taco Bell',)",mexican,"('2410 E Rand Rd',)","('60004',)"
"('Panda Express',)",chinese,"('1165 E. Dundee Rd',)","('60074',)"
"('Burger King',)",hotdogs,"('675 E Rand Rd',)","('60004',)"
"(""Barnaby's Family Inn"",)",pizza,"('933 W Rand Rd',)","('60004',)"
"('Wingstop',)",chicken_wings,"('1191 E Dundee Rd',)","('60074',)"
"('Potbelly Sandwich Shop',)",sandwiches,"('102 W Rand Rd',)","('60056',)"
"('Panera Bread',)",sandwiches,"('5 W Rand Road',)","('60004',)"
"(""Casa Chapala's Grill"",)",mexican,"('34 N Elmhurst Rd',)","('60090',)"
"('La Presa',)",mexican,"('1572 Rand Rd',)","('60074',)"
"('Noodles & Company',)",noodles,"('66 S Arlington Heights Rd',)","('60005',)"
"('Tomatillo Taco-Ville-Buffalo Grove',)",mexican,"('1267 W Dundee Rd',)","('60089',)"
"(""Javier's"",)",mexican,"('8 W Miner St',)","('60004',)"
"(""Jimmy John's"",)",sandwiches,"('746 East Dundee Rd',)","('60074',)"
"('Arby’s',)",hotdogs,"('100 W Rand Rd',)","('60004',)"
"('Taco Bell',)",mexican,"('50 W Dundee Road',)","('60089',)"
"(""Jersey Mike's Subs"",)",hotdogs,"('171 McHenry Rd',)","('60089',)"
"('Fratellos 2',)",hotdog,"('3301 Kirchoff Rd',)","('60008',)"
"(""Jimmy John's"",)",sandwiches,"('19 S Dunton Ave',)","('60005',)"
"('Gators Wing Shack Grill & Pizzeria',)",tradamerican,"('1719 N Rand Rd',)","('60074',)"
"(""Nacho's Pizza"",)",pizza,"('1215 N Elmhurst Rd',)","('60070',)"
"('Palm Court',)",seafood,"('1912 N Arlington Heights Rd',)","('60004',)"
"(""McDonald's"",)",hotdogs,"('13 W Rand Rd',)","('60056',)"
"(""Portillo's Hot Dogs"",)",hotdog,"('1900 Golf Rd',)","('60008',)"
"('Olympus Gyros',)",greek,"('412 W Nw Hwy',)","('60056',)"
"(""Grande Jake's Fresh Mexican Grill"",)",mexican,"('5500 New Wilke Rd',)","('60008',)"
"(""Arby's Roast Beef"",)",hotdogs,"('1331 Golf Rd',)","('60008',)"
"('Cubano Bros',)",cuban,"('571 Landmeier Rd',)","('60007',)"
"(""Culver's"",)",hotdogs,"('2060 Northwest Hwy',)","('60004',)"
"('Taco Bell',)",mexican,"('1530 W Algonquin Rd',)","('60005',)"
"('Fratellos 2',)",hotdog,"('3301 Kirchoff Rd',)","('60008',)"
"('Los Compadres Taqueria',)",mexican,"('1801 W Algonquin Rd',)","('60056',)"
"('Panda Express',)",chinese,"('1454 Golf Rd.',)","('60008',)"
"(""Rammy's SUB Contractors"",)",sandwiches,"('1022 E Higgins Rd',)","('60007',)"
"('Potbelly Sandwich Shop',)",hotdogs,"('1402 Golf Rd',)","('60008',)"
"('Chipotle Mexican Grill',)",mexican,"('1211 Golf Rd',)","('60008',)"
"(""McDonald's"",)",burgers,"('45 E Golf Rd',)","('60005',)"
"(""Culver's"",)",hotdogs,"('1501 Dempster St',)","('60056',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('1790 W Algonquin Rd',)","('60056',)"
"('Avanti Cafe & Sandwich Bar',)",italian,"('1900 S Elmhurst Rd',)","('60056',)"
"('Hickory Roasters',)",bbq,"('5440 New Wilke Rd',)","('60008',)"
"(""Jimmy John's"",)",sandwiches,"('19 S Dunton Ave',)","('60005',)"
"(""McDonald's"",)",hotdogs,"('1775 Algonquin Rd',)","('60008',)"
"('Mr Beef and Pizza',)",pizza,"('1796 S Elmhurst Rd',)","('60056',)"
"(""McDonald's"",)",hotdogs,"('3140 Kirchoff Rd',)","('60008',)"
"(""Javier's"",)",mexican,"('8 W Miner St',)","('60004',)"
"('Noodles & Company',)",noodles,"('66 S Arlington Heights Rd',)","('60005',)"
"('Grill 12',)",burgers,"('1350 E Rand Rd',)","('60004',)"
"('Panera Bread',)",salad,"('1321 Golf Road',)","('60008',)"
"('Taco Bell',)",mexican,"('945 Elmhurst Rd',)","('60016',)"
"('Pizza Hut',)",pizza,"('3330 Kirchoff Rd',)","('60008',)"
"(""McDonald's"",)",hotdogs,"('1570 E Northwest Hwy',)","('60074',)"
"('Taco Bell',)",mexican,"('2410 E Rand Rd',)","('60004',)"
"(""Jersey Mike's Subs"",)",hotdogs,"('1450 Golf Rd',)","('60008',)"
"('Burger King',)",hotdogs,"('1901 W Algonquin Rd',)","('60008',)"
"('Salsa 17',)",mexican,"('17 W Campbell St',)","('60005',)"
"(""Jimmy John's"",)",hotdogs,"('1317 Golf Rd',)","('60008',)"
"(""Domino's Pizza"",)",pizza,"('1141 S Arlington Heights Rd',)","('60005',)"
"(""Jimmy John's"",)",sandwiches,"('1299 E Rand Rd',)","('60004',)"
"('Golden Brunch',)",breakfast_brunch,"('31 E Golf Rd',)","('60005',)"
"('Panera Bread',)",salad,"('1336 Meijer Dr',)","('60008',)"
