Name,Type,Address,Zip Code
"('Los Tacos No.1',)",tacos,"('229 W 43rd St',)","('10036',)"
"(""Sticky's Finger Joint"",)",hotdogs,"('598 9th Ave',)","('10036',)"
"(""Sticky's Finger Joint"",)",hotdogs,"('484 3rd Ave',)","('10016',)"
"('Brine',)",chickenshop,"('106 8th Ave',)","('10011',)"
"('Pommes Frites',)",belgian,"('128 Macdougal St',)","('10012',)"
"('Oh K-Dog',)",korean,"('159 Ludlow St',)","('10002',)"
"('Summer Salt',)",tacos,"('30 East 23rd St',)","('10010',)"
"('Flip Sigi',)",filipino,"('131 7th Ave S',)","('10014',)"
"('Summer Salt',)",mexican,"('275 Madison Ave',)","('10016',)"
"(""Sam's Crispy Chicken"",)",fooddeliveryservices,"('398 10th Ave',)","('10001',)"
"('The Jin',)",korean,"('856 10th Ave',)","('10019',)"
"('DokoDemo',)",teppanyaki,"('89 E 4th St',)","('10003',)"
"('Chick-fil-A',)",hotdogs,"('1000 Avenue Of The Americas',)","('10018',)"
"('Taco Mahal',)",indpak,"('73 7th Ave S',)","('10014',)"
"('JoJu',)",sandwiches,"('555 5th Ave',)","('10017',)"
"(""Sticky's Finger Joint"",)",tradamerican,"('362 7th Ave',)","('10001',)"
"('Kobeyaki',)",japanese,"('293 7th Ave',)","('10001',)"
"('Kings of Kobe',)",hotdog,"('650 W 42nd St',)","('10036',)"
"('Wah Fung No 1',)",hotdogs,"('79 Chrystie St',)","('10002',)"
"('Jollibee',)",hotdogs,"('609 8th Ave',)","('10018',)"
"('Fuku',)",chickenshop,"('20 Hudson Yards',)","('10001',)"
"(""Johny's Luncheonette"",)",breakfast_brunch,"('124 W 25th St',)","('10001',)"
"('The Burrito Box',)",mexican,"('885 9th Ave',)","('10019',)"
"('Whitmans Hudson Yards',)",burgers,"('331 10th Ave',)","('10001',)"
"('Toasties',)",sandwiches,"('148 W 49th St',)","('10019',)"
"('Los Tacos No.1',)",tacos,"('75 9th Ave',)","('10011',)"
"(""375 Chicken 'n Fries"",)",hotdogs,"('124 Ludlow St',)","('10002',)"
"('Burger & Lobster - Flatiron NYC',)",seafood,"('39 W 19th St',)","('10011',)"
"('375 Chicken ‘n Fries',)",newamerican,"('649 9th Ave',)","('10036',)"
"('Saigon Shack',)",vietnamese,"('114 Macdougal St',)","('10012',)"
"('Blue Maiz',)",mexican,"('606 8th Ave',)","('10018',)"
"('Shake Shack',)",burgers,"('1700 Broadway',)","('10019',)"
"('Souvlaki GR',)",greek,"('162 W 56th St',)","('10019',)"
"('Num Pang Kitchen',)",cambodian,"('75 9th Ave',)","('10011',)"
"('Bonchon',)",chicken_wings,"('325 5th Ave',)","('10016',)"
"('Blue Ribbon Fried Chicken - East Village',)",chicken_wings,"('28 East First St',)","('10003',)"
"(""Junior's Restaurant"",)",bakeries,"('1515 Broadway',)","('10036',)"
"('Taco Bell Cantina',)",mexican,"('500 8th Avenue',)","('10018',)"
"('Fuku',)",chickenshop,"('30 Rockefeller Plz',)","('10111',)"
"(""Sticky's Finger Joint"",)",hotdogs,"('107 E 14th St',)","('10003',)"
"('taïm mediterranean kitchen - West Village',)",falafel,"('222 Waverly Pl',)","('10014',)"
"('GAI Chicken & Rice',)",thai,"('158 E 45th St',)","('10017',)"
"('Wok To Walk',)",asianfusion,"('570 8th Ave',)","('10018',)"
"('Banh Mi Zon',)",vietnamese,"('443 East 6th St',)","('10009',)"
"('Liberty Bagels Midtown',)",breakfast_brunch,"('260 W 35th St',)","('10001',)"
"('Chirping Chicken',)",chicken_wings,"('587 9th Ave',)","('10036',)"
