Name,Type,Address,Zip Code
"(""Pal's"",)",hotdogs,"('960 Volunteer Pkwy',)","('37620',)"
"(""Zaxby's Chicken Fingers & Buffalo Wings"",)",hotdogs,"('201 Cabela Dr',)","('24201',)"
"(""Pal's"",)",hotdogs,"('101 Alexis Dr',)","('24202',)"
"(""Phat Daddy's Subs"",)",hotdogs,"('1511 W State St',)","('24201',)"
"('Barberitos',)",tex-mex,"('1325 Euclid Ave',)","('24201',)"
"('Burger Bar',)",burgers,"('8 Piedmont Ave',)","('24201',)"
"('The Angry Italian',)",pizza,"('714 State St',)","('37620',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('1321 Euclid Ave',)","('24201',)"
"(""Tootie's Restaurant"",)",newamerican,"('1310 Virginia Ave',)","('37620',)"
"('Bojangles',)",hotdogs,"('1420 U S 11',)","('24201',)"
"(""Long John Silver's"",)",seafood,"('2040 Lee Hwy',)","('24201',)"
"(""Arby's"",)",hotdogs,"('2067 Lee Hwy',)","('24201',)"
"(""Jersey Mike's Subs"",)",sandwiches,"('1281 Bonham Rd',)","('24202',)"
"(""McDonald's"",)",burgers,"('2065 Lee Hwy',)","('24201',)"
"(""Hardee's"",)",hotdogs,"('1860 Euclid Ave',)","('24201',)"
"('Burger King',)",burgers,"('1967 Lee Hwy',)","('24201',)"
"('Old Lighthouse Diner',)",breakfast_brunch,"('2520 W State St',)","('37620',)"
"(""Hardee's"",)",hotdogs,"('1950 Lee Hwy',)","('24201',)"
"(""McDonald's"",)",burgers,"('1102 Volunteer Pkwy',)","('37620',)"
"(""Wendy's"",)",burgers,"('470 Gate City Hwy',)","('24201',)"
"('Taco Bell',)",hotdogs,"('2582 W State Street',)","('37620',)"
"('Corner Dog House',)",hotdog,"('102 W Mary St',)","('24201',)"
"(""McDonald's"",)",hotdogs,"('2633 W State',)","('37620',)"
"(""Captain D's"",)",seafood,"('2815 W States St',)","('37620',)"
"('KFC',)",hotdogs,"('2037 Lee Hwy',)","('24201',)"
"('Sonic Drive-In',)",burgers,"('2709 West State St',)","('37620',)"
"('Papa Johns Pizza',)",pizza,"('740 Volunteer Pkwy.',)","('37620',)"
"(""Domino's Pizza"",)",pizza,"('3003A Lee Hwy',)","('24202',)"
"('Burger King',)",burgers,"('2615 West State Street',)","('37620',)"
"('Buffalo Wild Wings',)",sportsbars,"('240 Falls Blvd',)","('24201',)"
"('Pizza Hut',)",chicken_wings,"('170 Gate City Hwy',)","('24201',)"
"('Bojangles',)",chicken_wings,"('1030 Volunteer Pkwy',)","('37620',)"
"('Subway',)",sandwiches,"('1325 Euclid Ave',)","('24201',)"
"('Taco Bell',)",hotdogs,"('1111 Volunteer Parkway',)","('37620',)"
"('Sonic Drive-In',)",hotdogs,"('1015 Volunteer Pkwy',)","('37625',)"
"('Dairy Queen Grill & Chill',)",icecream,"('2960 Paulena Dr',)","('24202',)"
"('KFC',)",hotdogs,"('2590 W State St',)","('37620',)"
"('Taco Bell',)",hotdogs,"('30019 Highway 110',)","('38449',)"
"(""McDonald's"",)",hotdogs,"('26862 Main St',)","('35739',)"
"('Burger King',)",hotdogs,"('26383 Main St',)","('38449',)"
"('Pizza Hut',)",pizza,"('26439 Main St',)","('38449',)"
"('KFC',)",hotdogs,"('30019 Hwy 110',)","('38449',)"
"('Taco Bell',)",mexican,"('2541 Murfreesboro Rd',)","('37217',)"
"('Taco Bell',)",hotdogs,"('5315 Hickory Hollow Ln.',)","('37013',)"
"('Wingstop',)",chicken_wings,"('847 Hamilton Crossing Dr',)","('37013',)"
"(""Angelo's Picnic Pizza & Italian Restaurant"",)",pizza,"('2713 Murfreesboro Rd',)","('37013',)"
"('MemphisWings615',)",chicken_wings,"('5380 Mt View Rd',)","('37013',)"
"('Sonic Drive-In',)",burgers,"('2787 Murfreesboro Pike',)","('37013',)"
"('Papa Johns Pizza',)",chicken_wings,"('5300 Hickory Hollow Lane',)","('37013',)"
"('Krystal',)",burgers,"('2671 Murfreesboro Rd',)","('37217',)"
"('Dairy Queen Grill & Chill',)",icecream,"('2819 Murfreesboro Rd',)","('37013',)"
"('Hella Hot Chicken',)",chicken_wings,"('516 Bell Rd',)","('37013',)"
"('Jack in the Box',)",hotdogs,"('1000 Capital Funds Ct',)","('37217',)"
"(""McDonald's"",)",burgers,"('5301 Hickory Hollow Ln',)","('37013',)"
"('Burger King',)",burgers,"('5300 Hickory Hollow Pkwy',)","('37013',)"
"('Surreal Spice Creations',)",salad,"('2940 Murfreesboro Rd',)","('37013',)"
"(""Captain D's"",)",seafood,"('2705 Murfreesboro Pike',)","('37013',)"
"(""McDonald's"",)",burgers,"('3035 Hamilton Church Rd',)","('37013',)"
"(""Jersey Mike's Subs"",)",sandwiches,"('2280 Murfreesboro Pike',)","('37217',)"
"(""O'Charley's Restaurant & Bar"",)",tradamerican,"('923 Bell Rd',)","('37013',)"
"('Arandas',)",hotdogs,"('2111 Murfreesboro Pike',)","('37217',)"
"(""Wendy's"",)",burgers,"('2600 Murfreesboro Rd.',)","('37217',)"
"(""Arby's"",)",hotdogs,"('2350 Murfreesboro Pike',)","('37217',)"
"('KFC',)",hotdogs,"('2634 Murfreesboro Rd',)","('37217',)"
"('Casa Fiesta',)",mexican,"('1111 Bell Rd',)","('37013',)"
"(""Zaxby's Chicken Fingers & Buffalo Wings"",)",salad,"('2241 Murfreesboro Pike',)","('37217',)"
"('Popeyes Louisiana Kitchen',)",chicken_wings,"('13011 Old Hickory Blvd',)","('37013',)"
"('Popeyes',)",hotdogs,"('3550 Murfreesboro Pike',)","('37013',)"
"(""Church's Chicken"",)",chicken_wings,"('515 Bell Rd',)","('37013',)"
"('Panda Express',)",chinese,"('5300 Hickory Hollow Ln',)","('37013',)"
"('Burger King',)",burgers,"('2305 Murfreesboro Pike',)","('37217',)"
"('Subway',)",sandwiches,"('3534 Murfreesboro Pike',)","('37013',)"
"('Popeyes Louisiana Kitchen',)",chicken_wings,"('3550 Murfreesboro Pike',)","('37013',)"
"('Pizza Hut',)",pizza,"('2701 Murfreesboro Rd',)","('37013',)"
"(""McDonald's"",)",hotdogs,"('2499 Murfreesboro Pike',)","('37217',)"
"('KFC',)",hotdogs,"('5001 Murfreesboro Road',)","('37086',)"
"('Burger King',)",burgers,"('13011 Old Hickory Blvd',)","('37013',)"
"('Roma Pizza & Pasta',)",pizza,"('2693 Murfreesboro Rd',)","('37217',)"
"(""Hardee's"",)",burgers,"('2536 Murfreesboro Pike',)","('37217',)"
"('Olive Garden Italian Restaurant',)",italian,"('1131 Bell Rd',)","('37013',)"
"('BurgerFi',)",burgers,"('7010 Executive Center Dr',)","('37027',)"
"('Five Guys',)",burgers,"('330 Franklin Rd',)","('37027',)"
"('Bojangles',)",hotdogs,"('15594 Old Hickory Blvd',)","('37211',)"
"('Sonic Drive-In',)",hotdogs,"('208 B Wilson Pike Cir',)","('37027',)"
"(""Schlotzsky's"",)",delis,"('1708 Galleria Blvd',)","('37067',)"
"(""Zaxby's Chicken Fingers & Buffalo Wings"",)",chicken_wings,"('471 Old Hickory Blvd',)","('37027',)"
"(""Wendy's"",)",burgers,"('5640 Franklin Pike Cir',)","('37027',)"
"(""McDonald's"",)",hotdogs,"('410 Old Hickory Blvd',)","('37211',)"
"('Taco Bell',)",hotdogs,"('5002 Maryland Way',)","('37027',)"
"(""McDonald's"",)",hotdogs,"('109 E Park Dr',)","('37027',)"
"('Back Yard Burgers',)",burgers,"('5004 Maryland Way',)","('37027',)"
"('Greek Cafe Grill',)",greek,"('115 Penn Warren Dr',)","('37027',)"
"(""Jason's Deli"",)",delis,"('279 Franklin Rd',)","('37027',)"
"('Wilco Fusion Grill',)",cafes,"('9040 Carothers Pkwy',)","('37067',)"
"('Chipotle Mexican Grill',)",mexican,"('269 Franklin Rd',)","('37027',)"
"(""Jimmy John's"",)",sandwiches,"('101 Creekside Crossing',)","('37027',)"
"('Mediterranean Cuisine',)",greek,"('214 Ward Cir',)","('37027',)"
"(""McDonald's"",)",hotdogs,"('1704 Galleria Blvd',)","('37064',)"
"('Sonic Drive-In',)",hotdogs,"('1718 Carouthers Pkwy',)","('37027',)"
"('Panera Bread',)",sandwiches,"('782 Old Hickory Blvd',)","('37027',)"
"('Chick-fil-A',)",hotdogs,"('1800 Galleria Blvd',)","('37067',)"
"('Back Yard Burgers',)",burgers,"('1711 Galleria Blvd',)","('37067',)"
"(""Corky's Ribs & BBQ"",)",bbq,"('100 Franklin Rd',)","('37027',)"
"('Local Taco',)",southern,"('146 Pewitt Dr',)","('37027',)"
"(""Dickey's Barbecue Pit"",)",bbq,"('8113 Moores Ln',)","('37027',)"
"(""Uncle Julio's"",)",mexican,"('209 Franklin Rd',)","('37027',)"
"('Mr. Crepe',)",creperies,"('1800 Galleria Blvd',)","('37067',)"
"(""Taziki's Mediterranean Cafe - Brentwood"",)",mediterranean,"('7021 Executive Center Dr',)","('37027',)"
"('Firehouse Subs',)",hotdogs,"('700 Old Hickory Blvd',)","('37027',)"
"(""Wendy's"",)",hotdogs,"('5529 Edmondson Pike',)","('37211',)"
"('Taco Bell',)",hotdogs,"('5709 Edmonson Pike',)","('37211',)"
"('Pyramid Cafe',)",greek,"('1800 Galleria Blvd',)","('37067',)"
"(""Chili's"",)",tex-mex,"('107 Creekside Crossing',)","('37027',)"
"('Papa Johns Pizza',)",pizza,"('119 Franklin Road',)","('37027',)"
"(""Jimmy John's"",)",sandwiches,"('15563 Old Hickory Blvd',)","('37211',)"
"('Charleys Cheesesteaks',)",tradamerican,"('1800 Galleria Blvd',)","('37067',)"
"('Burger King',)",burgers,"('1911 Mallory Ln',)","('37067',)"
"(""Cheddar's Scratch Kitchen"",)",tradamerican,"('1654 Westgate Cir',)","('37027',)"
"(""Jersey Mike's Subs"",)",sandwiches,"('214 Ward Cir',)","('37027',)"
"(""Judge Bean's BBQ"",)",bbq,"('7022 Church St E',)","('37027',)"
"(""John's Burgers"",)",burgers,"('1800 Galleria Blvd',)","('37027',)"
"(""Jersey Mike's Subs"",)",hotdogs,"('5527 Edmondson Pike',)","('37211',)"
"(""Moe's Southwest Grill"",)",mexican,"('101 CreeksideCrossing',)","('37027',)"
"('Red Robin Gourmet Burgers and Brews',)",burgers,"('1762 Galleria Blvd',)","('37067',)"
"('Villalba Italian Restaurant',)",salad,"('15568 Old Hickory Blvd',)","('37211',)"
"('LongHorn Steakhouse',)",steak,"('774 Old Hickory Blvd',)","('37027',)"
"('Cinco De Mayo Mexican restaurant - Brentwood',)",mexican,"('4944 Thoroughbred Ln',)","('37027',)"
"('The Rutledge',)",bars,"('105 International Dr',)","('37067',)"
"('Mazatlan Mexican Restaurant',)",mexican,"('116 Wilson Pike',)","('37027',)"
"('The Cheesecake Factory - Cool Springs',)",desserts,"('1800 Galleria Blvd',)","('37067',)"
"(""Bubbakoo's Burritos"",)",tex-mex,"('1825 Madison St',)","('37043',)"
"('Hot Pita',)",sandwiches,"('136 Franklin St',)","('37040',)"
"(""Kelly's Big Burger"",)",diners,"('405 N Riverside Dr',)","('37040',)"
"(""Jimmy John's"",)",sandwiches,"('1820 Madison St',)","('37043',)"
"('The Gingham Cafe',)",cafes,"('1955-C Madison St',)","('37043',)"
"(""Jersey Mike's Subs"",)",hotdogs,"('1960 L Madison St',)","('37043',)"
"('Sonic Drive-In',)",hotdogs,"('2219 Madison St',)","('37043',)"
"('Arapaap',)",hotdogs,"('100 Main St',)","('37040',)"
"('Burger King',)",burgers,"('2227 Madison St',)","('37043',)"
"('Papa Johns Pizza',)",pizza,"('1485 Madison St',)","('37040',)"
"('Strawberry Alley Ale Works',)",tradamerican,"('103 Strawberry Aly',)","('37040',)"
"(""Jimmy John's"",)",sandwiches,"('1725 Wilma Rudolph Blvd',)","('37040',)"
"(""McDonald's"",)",hotdogs,"('1921 Madison Ext',)","('37040',)"
"('Taco Bell',)",mexican,"('2240 Madison Street',)","('37043',)"
"(""Hardee's"",)",hotdogs,"('1941 Madison St',)","('37043',)"
"('Blackhorse Pub & Brewery - Clarksville',)",breweries,"('132 Franklin St',)","('37040',)"
"(""Arby's"",)",hotdogs,"('2235 Madison St',)","('37043',)"
"('Dos Margaritas Mexican Grill',)",mexican,"('1923 Madison St',)","('37043',)"
"('Pizza Hut',)",pizza,"('703 S Riverside Dr',)","('37040',)"
"('Waffle House',)",breakfast_brunch,"('1931 Madison St',)","('37043',)"
"('Sonic Drive-In',)",hotdogs,"('1761 Wilma Rudolph Blvd',)","('37042',)"
"('Kohana Sushi & Ramen',)",sushi,"('120 Corporate Dr',)","('37040',)"
"('Pizza Hut',)",pizza,"('1901 Wilma Rudolph Blvd',)","('37040',)"
