Name,Type,Address,Zip Code
"(""Freddy's Frozen Custard & Steakburgers"",)",hotdogs,"('12407 FM1960 W',)","('77065',)"
"('Simply Greek',)",greek,"('8475 North',)","('77095',)"
"('Hwy 6 Tacos',)",foodstands,"('9030 Hwy 6 N',)","('77095',)"
"(""Zaxby's Chicken Fingers & Buffalo Wings"",)",hotdogs,"('8722 Barker Cypress Rd',)","('77433',)"
"('Chick-fil-A',)",hotdogs,"('8440 Highway 6 N',)","('77095',)"
"(""Raising Cane's Chicken Fingers"",)",chicken_wings,"('12345 Fm 1960 Rd W',)","('77065',)"
"('Taqueria Ruby',)",tacos,"('10039 Huffmeister Rd',)","('77429',)"
"('El Pollo Loco',)",mexican,"('8473 Hwy 6',)","('77095',)"
"('Taco Bell',)",hotdogs,"('7502 Hwy 6 North',)","('77095',)"
"(""Torchy's Tacos"",)",tacos,"('9975 Barker Cypress Rd',)","('77433',)"
"('Dog Haus',)",burgers,"('8422 Hwy 6 N',)","('77095',)"
"('Lazy Dog Restaurant & Bar',)",newamerican,"('20030 Northwest Fwy',)","('77065',)"
"(""Wendy's"",)",burgers,"('8436 Highway 6 North',)","('77095',)"
"('JLB Eatery',)",burgers,"('11808 Barker Cypress Rd',)","('77433',)"
"('Fish & Chicks',)",seafood,"('7955 Barker Cypress Rd',)","('77433',)"
"('MOD Pizza',)",hotdogs,"('8552 Highway 6 N',)","('77095',)"
"('Jack in the Box',)",hotdogs,"('10450 Huffmeister Rd',)","('77065',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('8935 Hwy 6 N',)","('77095',)"
"('JLB Eatery',)",burgers,"('13150 Farm To Market Rd 529',)","('77041',)"
"('Taco Bell',)",hotdogs,"('12351 FM 1960 West',)","('77065',)"
"('Tacoland Mex-Mex Tacos',)",mexican,"('22224 Northwest Fwy',)","('77429',)"
"(""Schlotzsky's"",)",delis,"('8254 Hwy 6 N',)","('77095',)"
"('Banh Mi And Tea',)",sandwiches,"('7067 Hwy 6 N',)","('77095',)"
"('Zero Degrees',)",bubbletea,"('11510 Barker Cypress Rd',)","('77433',)"
"(""Wings 'N More"",)",chicken_wings,"('8400 Hwy 6 N',)","('77095',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('9120 Barker Cypress Rd',)","('77433',)"
"('Taco Casa',)",tacos,"('8808 Barker Cypress Rd',)","('77433',)"
"('Burger King',)",burgers,"('12929 FM 1960 W',)","('77065',)"
"('Jack in the Box',)",burgers,"('9310 Barker Cypress Rd',)","('77433',)"
"('Burger Tex 7',)",burgers,"('7040 N Eldridge Pkwy',)","('77041',)"
"('Whataburger',)",burgers,"('9130 Barker Cypress Rd',)","('77433',)"
"('Panda Express',)",chinese,"('12895 Farm To Market 1960 Rd W',)","('77065',)"
"('Chipotle Mexican Grill',)",mexican,"('13313 Fm 1960 Rd W',)","('77065',)"
"('Whataburger',)",burgers,"('8534 Highway 6 N',)","('77095',)"
"('Popeyes Louisiana Kitchen',)",chicken_wings,"('15107 FM 529 Rd',)","('77095',)"
"('Panda Express',)",chinese,"('15951 Fm529',)","('77095',)"
"('Jack in the Box',)",hotdogs,"('12446 Fm 1960 Rd W',)","('77065',)"
"('JCI- James Coney Island- Copperfield',)",hotdog,"('6614 Hwy 6 N',)","('77084',)"
"(""Wendy's"",)",hotdogs,"('18025 Fm 529',)","('77433',)"
"(""Fajita Pete's - Copperfield"",)",mexican,"('8552 Hwy 6 N',)","('77095',)"
"('Sonic Drive-In',)",burgers,"('9020 Barker Cypress',)","('77433',)"
"(""Jimmy John's"",)",sandwiches,"('12925 Fm 1960 Rd W',)","('77065',)"
"('Sonic Drive-In',)",hotdogs,"('7650 Highway 6 N',)","('77095',)"
"('Chipotle Mexican Grill',)",mexican,"('9202 Barker Cypress Rd',)","('77433',)"
"(""Frenchy's Chicken"",)",cajun,"('7955 Barker Cypress Rd',)","('77433',)"
"('Taco Bell',)",mexican,"('17721 FM 529 Rd',)","('77095',)"
"(""McDonald's"",)",burgers,"('9715 Barker Cypress Rd',)","('77433',)"
"(""McDonald's"",)",hotdogs,"('13785 Cypress N Houston Rd',)","('77429',)"
"('Galiana’s Tex Mex & Agave Bar',)",tex-mex,"('24110 Northwest Fwy',)","('77429',)"
"('MOD Pizza',)",pizza,"('9925 Barker Cypress',)","('77433',)"
"('Taco Cabana',)",mexican,"('4903 W. Bellfort St.',)","('77035',)"
"('Whataburger',)",burgers,"('10310 S Post Oak Rd',)","('77035',)"
"('Bellaire Broiler Burger',)",burgers,"('5216 Bellaire Blvd',)","('77401',)"
"('Chick-fil-A',)",hotdogs,"('5001 Beechnut St',)","('77096',)"
"('Jack in the Box',)",hotdogs,"('4920 W Bellfort St',)","('77035',)"
"(""Fuzzy's Taco Shop"",)",mexican,"('10275 B South Post Oak',)","('77096',)"
"(""Annie's Hamburgers"",)",burgers,"('10821 S Post Oak Rd',)","('77035',)"
"(""McDonald's"",)",burgers,"('10315 S Post Oak',)","('77035',)"
"('Viet Nom Noms',)",vietnamese,"('5221 Bellaire Blvd',)","('77401',)"
"('Firehouse Subs',)",sandwiches,"('170 Meyerland Plz',)","('77096',)"
"('Peru Gourmet',)",peruvian,"('10804 S Post Oak Rd',)","('77035',)"
"(""Cue's Burgers & More"",)",burgers,"('10423 S Post Oak Rd',)","('77035',)"
"(""McDonald's"",)",hotdogs,"('5911 S Braeswood Blvd',)","('77096',)"
"('Cafe Express',)",sandwiches,"('210 Meyerland Plaza',)","('77096',)"
"('Q Wings Seafood  & Boba',)",chicken_wings,"('6715 Bissonnet St',)","('77074',)"
"('Becks Prime',)",hotdog,"('708 Meyerland Plz',)","('77096',)"
