Name,Type,Address,Zip Code
"('Chick-fil-A',)",hotdogs,"('10677 Sudley Manor Dr',)","('20109',)"
"('Checkers',)",burgers,"('7550 Broken Branch Ln',)","('20109',)"
"('California Tortilla',)",mexican,"('11694 Sudley Manor Dr',)","('20109',)"
"('Potbelly Sandwich Shop',)",sandwiches,"('10388 Festival Ln',)","('20109',)"
"('Sonic Drive-In',)",hotdogs,"('10850 Promenade Ln',)","('20109',)"
"('California Chicken Wings',)",hotdogs,"('8124 Sudley Rd',)","('20109',)"
"(""McDonald's"",)",hotdogs,"('10730 Balls Ford Rd',)","('20109',)"
"('Burger King',)",burgers,"('10824 Balls Ford Rd',)","('20109',)"
"('Taco Bell',)",hotdogs,"('7791 Sudley Rd',)","('20109',)"
"(""Jersey Mike's Subs"",)",hotdogs,"('7418 Sudley Rd',)","('20109',)"
"(""Wendy's"",)",burgers,"('8010 Sudley Road',)","('20109',)"
"('Panda Express',)",chinese,"('10689 Sudley Manor Drive',)","('20109',)"
"('Cafe Rio Mexican Grill',)",mexican,"('7803 Sudley Rd',)","('20109',)"
"('Tequeno world',)",venezuelan,"('8300 Sudley Rd',)","('20109',)"
"(""Arby's"",)",hotdogs,"('10831 Promenade Ln',)","('20109',)"
"(""Wendy's"",)",hotdogs,"('10700 Bulloch Drive',)","('20109',)"
"('Pho Duong Banh Mi & More',)",vietnamese,"('8667 Sudley Rd',)","('20110',)"
"('Pollo Campero - Manassas',)",hotdogs,"('7913 Sudley Rd',)","('20109',)"
"('City Grille',)",tradamerican,"('10701 Balls Ford Rd',)","('20109',)"
"('Super Chicken',)",chicken_wings,"('10380 Festival Ln',)","('20109',)"
"('El Mirador Restaurant',)",salvadoran,"('7839 Sudley Rd',)","('20109',)"
"('Golden Corral Buffet & Grill',)",buffets,"('10801 Bulloch Dr',)","('20109',)"
"(""Arby's"",)",sandwiches,"('12891 Braemar Village Plz',)","('20136',)"
"('Chipotle Mexican Grill',)",mexican,"('7311 Sudley Rd',)","('20109',)"
"('A Deli Italian Food',)",delis,"('10384 Portsmouth Rd',)","('20109',)"
"('KFC',)",hotdogs,"('7789 Sudley Rd',)","('20109',)"
"('Charleys Cheesesteaks',)",cheesesteaks,"('8300 Sudley Rd',)","('20109',)"
"('Panera Bread',)",sandwiches,"('8085 Sudley Road',)","('20109',)"
"('Bonchon Manassas',)",chicken_wings,"('8679 Sudley Rd',)","('20110',)"
"('Dairy Queen Grill & Chill',)",icecream,"('11702 Sudley Manor Dr',)","('20109',)"
"('Five Guys',)",burgers,"('8366 Sudley Rd',)","('20109',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('8416 Sudley Rd',)","('20109',)"
"('Cracker Barrel Old Country Store',)",southern,"('10801 Battleview Pkwy',)","('20109',)"
"(""Chili's"",)",tradamerican,"('10600 Sudley Manor Dr',)","('20109',)"
"('TGI Fridays',)",tradamerican,"('7401 Sudley Rd',)","('20109',)"
"(""McDonald's"",)",hotdogs,"('8203 Sudley Rd',)","('20109',)"
"('Papa Johns Pizza',)",pizza,"('10380 Portsmouth Rd',)","('20109',)"
"(""Auntie Anne's"",)",pretzels,"('8300 Sudley Rd',)","('20109',)"
"(""Tony's New York Pizza"",)",pizza,"('11674 Sudley Manor Dr',)","('20109',)"
"('Pizza Hut',)",pizza,"('7322 Sudley Rd',)","('20109',)"
"('Cactus Grill',)",mexican,"('8099 Sudley Rd',)","('20109',)"
"('360 Tavern',)",musicvenues,"('8090 Sudley Rd',)","('20110',)"
