,res_type,state_ab,zip_code,median
2,burgers,CA,90255.0,27107.0
3,burgers,CA,90003.0,34678.0
4,burgers,CA,90255.0,27107.0
6,burgers,CA,90011.0,25700.0
8,burgers,CA,90001.0,30036.0
14,burgers,CA,90011.0,25700.0
15,burgers,CA,90001.0,30036.0
24,burgers,CA,90001.0,30036.0
27,burgers,CA,90255.0,27107.0
29,burgers,CA,90255.0,27107.0
30,burgers,CA,90001.0,30036.0
36,burgers,CA,90011.0,25700.0
40,burgers,CA,90003.0,34678.0
45,burgers,CA,90001.0,30036.0
49,burgers,CA,90011.0,25700.0
53,burgers,CA,90002.0,18303.0
55,burgers,CA,90059.0,12486.0
56,burgers,CA,90262.0,41431.0
59,burgers,CA,90002.0,18303.0
60,burgers,CA,90003.0,34678.0
62,burgers,CA,90001.0,30036.0
66,burgers,CA,90002.0,18303.0
71,burgers,CA,90255.0,27107.0
78,burgers,CA,93955.0,20035.0
81,burgers,CA,90044.0,27101.0
83,burgers,CA,90044.0,27101.0
85,burgers,CA,90044.0,27101.0
91,burgers,CA,90044.0,27101.0
94,burgers,CA,90003.0,34678.0
97,burgers,CA,90044.0,27101.0
101,burgers,CA,90003.0,34678.0
102,burgers,CA,90003.0,34678.0
104,burgers,CA,90061.0,44268.0
107,burgers,CA,90057.0,22191.0
123,burgers,CA,90028.0,83180.0
130,burgers,CA,90027.0,64881.0
136,burgers,CA,90036.0,300000.0
145,burgers,CA,90038.0,47458.0
147,burgers,CA,90006.0,28469.0
149,burgers,CA,90004.0,37893.0
153,burgers,CA,90038.0,47458.0
154,burgers,CA,90027.0,64881.0
156,burgers,CA,90004.0,37893.0
158,burgers,CA,90019.0,42865.0
161,burgers,CA,90036.0,300000.0
170,burgers,CA,90010.0,300000.0
181,burgers,CA,90015.0,36291.0
190,burgers,CA,90007.0,38672.0
192,burgers,CA,90006.0,28469.0
198,burgers,CA,90007.0,38672.0
206,burgers,CA,90007.0,38672.0
208,burgers,CA,90017.0,58114.0
212,burgers,CA,90016.0,25753.0
213,burgers,CA,90043.0,31219.0
219,burgers,CA,90056.0,38801.0
221,burgers,CA,90018.0,37415.0
223,burgers,CA,90302.0,32606.0
227,burgers,CA,90045.0,107969.0
230,burgers,CA,90016.0,25753.0
235,burgers,CA,90016.0,25753.0
251,burgers,CA,90043.0,31219.0
253,burgers,CA,90008.0,70607.0
