,res_type,state_ab,zip_code,median
125,delis/diners,CA,90028.0,83180.0
126,delis/diners,CA,90046.0,46897.0
165,delis/diners,CA,90010.0,300000.0
243,delis/diners,CA,90016.0,25753.0
311,delis/diners,CA,90017.0,58114.0
312,delis/diners,CA,90012.0,15956.0
321,delis/diners,CA,90019.0,42865.0
345,delis/diners,CA,90012.0,15956.0
348,delis/diners,CA,90017.0,58114.0
361,delis/diners,CA,90019.0,42865.0
364,delis/diners,CA,90019.0,42865.0
370,delis/diners,CA,90019.0,42865.0
372,delis/diners,CA,90010.0,300000.0
380,delis/diners,CA,90270.0,21049.0
465,delis/diners,CA,90064.0,300000.0
467,delis/diners,CA,90024.0,91139.0
494,delis/diners,CA,90024.0,91139.0
510,delis/diners,CA,90024.0,91139.0
524,delis/diners,CA,90025.0,97041.0
528,delis/diners,CA,90404.0,94342.0
565,delis/diners,CA,90039.0,300000.0
577,delis/diners,CA,90028.0,83180.0
582,delis/diners,CA,90039.0,300000.0
648,delis/diners,CA,91754.0,60854.0
714,delis/diners,CA,90048.0,62610.0
721,delis/diners,CA,90212.0,89224.0
722,delis/diners,CA,90034.0,300000.0
732,delis/diners,CA,90036.0,300000.0
760,delis/diners,CA,90039.0,300000.0
769,delis/diners,CA,90041.0,59408.0
774,delis/diners,CA,90041.0,59408.0
805,delis/diners,CA,90041.0,59408.0
811,delis/diners,CA,91205.0,39268.0
813,delis/diners,CA,90041.0,59408.0
825,delis/diners,CA,91801.0,104023.0
827,delis/diners,CA,91030.0,55405.0
843,delis/diners,CA,90301.0,32736.0
884,delis/diners,CA,90003.0,34678.0
897,delis/diners,CA,90045.0,107969.0
902,delis/diners,CA,90045.0,107969.0
907,delis/diners,CA,90045.0,107969.0
908,delis/diners,CA,90293.0,71650.0
910,delis/diners,CA,90245.0,86968.0
911,delis/diners,CA,90045.0,107969.0
914,delis/diners,CA,90045.0,107969.0
922,delis/diners,CA,90045.0,107969.0
927,delis/diners,CA,90056.0,38801.0
929,delis/diners,CA,90245.0,86968.0
948,delis/diners,CA,90048.0,62610.0
960,delis/diners,CA,90046.0,46897.0
961,delis/diners,CA,91604.0,300000.0
998,delis/diners,CA,90024.0,91139.0
1027,delis/diners,CA,90024.0,91139.0
1029,delis/diners,CA,90025.0,97041.0
1034,delis/diners,CA,90025.0,97041.0
1047,delis/diners,CA,90230.0,300000.0
1054,delis/diners,CA,90230.0,300000.0
1065,delis/diners,CA,90017.0,58114.0
1103,delis/diners,CA,90061.0,44268.0
1106,delis/diners,CA,93534.0,56932.0
1108,delis/diners,CA,90220.0,43250.0
1134,delis/diners,CA,90247.0,35604.0
1145,delis/diners,CA,90059.0,12486.0
1148,delis/diners,CA,90044.0,27101.0
1149,delis/diners,CA,90247.0,35604.0
1184,delis/diners,CA,90064.0,300000.0
1186,delis/diners,CA,90034.0,300000.0
1189,delis/diners,CA,90034.0,300000.0
1195,delis/diners,CA,90292.0,94781.0
1204,delis/diners,CA,90034.0,300000.0
1209,delis/diners,CA,90230.0,300000.0
1237,delis/diners,CA,90028.0,83180.0
1239,delis/diners,CA,91505.0,300000.0
1245,delis/diners,CA,91604.0,300000.0
1252,delis/diners,CA,90024.0,91139.0
1255,delis/diners,CA,90024.0,91139.0
1266,delis/diners,CA,90045.0,107969.0
1268,delis/diners,CA,90066.0,116703.0
1271,delis/diners,CA,90045.0,107969.0
1281,delis/diners,CA,90240.0,300000.0
1284,delis/diners,CA,90201.0,56738.0
1309,delis/diners,CA,90201.0,56738.0
1326,delis/diners,CA,90212.0,89224.0
1334,delis/diners,CA,90211.0,60080.0
1336,delis/diners,CA,90210.0,208338.0
1337,delis/diners,CA,90210.0,208338.0
1338,delis/diners,CA,90212.0,89224.0
1341,delis/diners,CA,90048.0,62610.0
1344,delis/diners,CA,90212.0,89224.0
1347,delis/diners,CA,90035.0,77492.0
1359,delis/diners,CA,90746.0,48895.0
1363,delis/diners,CA,90220.0,43250.0
1367,delis/diners,CA,90746.0,48895.0
1368,delis/diners,CA,90746.0,48895.0
1370,delis/diners,CA,90248.0,300000.0
1371,delis/diners,CA,90221.0,43934.0
1398,delis/diners,CA,90262.0,41431.0
1403,delis/diners,CA,94103.0,17195.0
1443,delis/diners,CA,90242.0,76695.0
1455,delis/diners,CA,90242.0,76695.0
1456,delis/diners,CA,90670.0,60661.0
1466,delis/diners,CA,90242.0,76695.0
1476,delis/diners,CA,90660.0,73063.0
1489,delis/diners,CA,90808.0,300000.0
1551,delis/diners,CA,90266.0,206024.0
1570,delis/diners,CA,90245.0,86968.0
