,res_type,state_ab,zip_code,median
0,hotdogs,CA,90001.0,30036.0
1,hotdogs,CA,90255.0,27107.0
5,hotdogs,CA,90255.0,27107.0
7,hotdogs,CA,90001.0,30036.0
9,hotdogs,CA,90255.0,27107.0
10,hotdogs,CA,90007.0,38672.0
13,hotdogs,CA,90255.0,27107.0
16,hotdogs,CA,90011.0,25700.0
19,hotdogs,CA,90001.0,30036.0
20,hotdogs,CA,90001.0,30036.0
21,hotdogs,CA,90001.0,30036.0
22,hotdogs,CA,90058.0,21613.0
43,hotdogs,CA,90255.0,27107.0
46,hotdogs,CA,90003.0,34678.0
47,hotdogs,CA,90003.0,34678.0
50,hotdogs,CA,90059.0,12486.0
51,hotdogs,CA,90280.0,42954.0
65,hotdogs,CA,90003.0,34678.0
67,hotdogs,CA,90280.0,42954.0
69,hotdogs,CA,90061.0,44268.0
72,hotdogs,CA,90059.0,12486.0
75,hotdogs,CA,90001.0,30036.0
76,hotdogs,CA,90280.0,42954.0
80,hotdogs,CA,90061.0,44268.0
82,hotdogs,CA,90003.0,34678.0
84,hotdogs,CA,90044.0,27101.0
86,hotdogs,CA,90044.0,27101.0
93,hotdogs,CA,90047.0,26090.0
99,hotdogs,CA,90503.0,300000.0
103,hotdogs,CA,90047.0,26090.0
109,hotdogs,CA,90004.0,37893.0
113,hotdogs,CA,90028.0,83180.0
114,hotdogs,CA,90028.0,83180.0
116,hotdogs,CA,90038.0,47458.0
120,hotdogs,CA,90038.0,47458.0
121,hotdogs,CA,90038.0,47458.0
122,hotdogs,CA,90028.0,83180.0
131,hotdogs,CA,90005.0,25809.0
150,hotdogs,CA,90019.0,42865.0
152,hotdogs,CA,90057.0,22191.0
166,hotdogs,CA,90005.0,25809.0
177,hotdogs,CA,90017.0,58114.0
178,hotdogs,CA,90015.0,36291.0
179,hotdogs,CA,90007.0,38672.0
189,hotdogs,CA,90007.0,38672.0
195,hotdogs,CA,90057.0,22191.0
200,hotdogs,CA,90037.0,24958.0
201,hotdogs,CA,90007.0,38672.0
202,hotdogs,CA,90007.0,38672.0
218,hotdogs,CA,90008.0,70607.0
222,hotdogs,CA,90056.0,38801.0
224,hotdogs,CA,90008.0,70607.0
226,hotdogs,CA,90008.0,70607.0
229,hotdogs,CA,90016.0,25753.0
231,hotdogs,CA,90008.0,70607.0
237,hotdogs,CA,90016.0,25753.0
241,hotdogs,CA,90016.0,25753.0
242,hotdogs,CA,90016.0,25753.0
244,hotdogs,CA,90008.0,70607.0
246,hotdogs,CA,90035.0,77492.0
247,hotdogs,CA,90016.0,25753.0
250,hotdogs,CA,90019.0,42865.0
252,hotdogs,CA,90035.0,77492.0
254,hotdogs,CA,90062.0,38509.0
257,hotdogs,CA,90019.0,42865.0
259,hotdogs,CA,90010.0,300000.0
260,hotdogs,CA,90029.0,28797.0
263,hotdogs,CA,90037.0,24958.0
264,hotdogs,CA,90037.0,24958.0
265,hotdogs,CA,90011.0,25700.0
277,hotdogs,CA,90065.0,300000.0
279,hotdogs,CA,90033.0,300000.0
284,hotdogs,CA,90031.0,27902.0
285,hotdogs,CA,90033.0,300000.0
290,hotdogs,CA,90026.0,93139.0
300,hotdogs,CA,90745.0,57020.0
303,hotdogs,CA,90026.0,93139.0
304,hotdogs,CA,90031.0,27902.0
317,hotdogs,CA,90019.0,42865.0
331,hotdogs,CA,90034.0,300000.0
333,hotdogs,CA,90048.0,62610.0
338,hotdogs,CA,90230.0,300000.0
340,hotdogs,CA,90016.0,25753.0
351,hotdogs,CA,90016.0,25753.0
357,hotdogs,CA,90018.0,37415.0
358,hotdogs,CA,90006.0,28469.0
367,hotdogs,CA,90007.0,38672.0
373,hotdogs,CA,90036.0,300000.0
383,hotdogs,CA,90063.0,52980.0
388,hotdogs,CA,90063.0,52980.0
393,hotdogs,CA,90022.0,44387.0
396,hotdogs,CA,91754.0,60854.0
397,hotdogs,CA,90022.0,44387.0
399,hotdogs,CA,90022.0,44387.0
409,hotdogs,CA,90640.0,49628.0
413,hotdogs,CA,90022.0,44387.0
415,hotdogs,CA,90063.0,52980.0
424,hotdogs,CA,90640.0,49628.0
427,hotdogs,CA,90023.0,19354.0
428,hotdogs,CA,90023.0,19354.0
430,hotdogs,CA,90023.0,19354.0
432,hotdogs,CA,90033.0,300000.0
434,hotdogs,CA,90023.0,19354.0
437,hotdogs,CA,90033.0,300000.0
439,hotdogs,CA,90033.0,300000.0
441,hotdogs,CA,90023.0,19354.0
455,hotdogs,CA,90012.0,15956.0
457,hotdogs,CA,90064.0,300000.0
480,hotdogs,CA,90404.0,94342.0
485,hotdogs,CA,90025.0,97041.0
487,hotdogs,CA,90064.0,300000.0
501,hotdogs,CA,90025.0,97041.0
506,hotdogs,CA,90024.0,91139.0
508,hotdogs,CA,90066.0,116703.0
511,hotdogs,CA,90025.0,97041.0
515,hotdogs,CA,90404.0,94342.0
518,hotdogs,CA,90404.0,94342.0
526,hotdogs,CA,90405.0,46977.0
527,hotdogs,CA,90064.0,300000.0
530,hotdogs,CA,90029.0,28797.0
538,hotdogs,CA,90026.0,93139.0
539,hotdogs,CA,90057.0,22191.0
541,hotdogs,CA,90026.0,93139.0
548,hotdogs,CA,90039.0,300000.0
549,hotdogs,CA,91205.0,39268.0
554,hotdogs,CA,90065.0,300000.0
564,hotdogs,CA,90027.0,64881.0
