,res_type,state_ab,zip_code,median
17,mex/tex-mex,CA,90255.0,27107.0
26,mex/tex-mex,CA,90255.0,27107.0
31,mex/tex-mex,CA,90255.0,27107.0
32,mex/tex-mex,CA,90001.0,30036.0
33,mex/tex-mex,CA,90037.0,24958.0
37,mex/tex-mex,CA,90001.0,30036.0
39,mex/tex-mex,CA,90255.0,27107.0
44,mex/tex-mex,CA,90011.0,25700.0
48,mex/tex-mex,CA,90255.0,27107.0
57,mex/tex-mex,CA,90059.0,12486.0
58,mex/tex-mex,CA,90003.0,34678.0
77,mex/tex-mex,CA,90262.0,41431.0
79,mex/tex-mex,CA,90262.0,41431.0
89,mex/tex-mex,CA,90044.0,27101.0
143,mex/tex-mex,CA,90036.0,300000.0
163,mex/tex-mex,CA,90036.0,300000.0
191,mex/tex-mex,CA,90015.0,36291.0
196,mex/tex-mex,CA,90011.0,25700.0
205,mex/tex-mex,CA,90015.0,36291.0
210,mex/tex-mex,CA,90006.0,28469.0
215,mex/tex-mex,CA,90016.0,25753.0
217,mex/tex-mex,CA,90008.0,70607.0
239,mex/tex-mex,CA,90043.0,31219.0
255,mex/tex-mex,CA,90034.0,300000.0
266,mex/tex-mex,CA,90011.0,25700.0
268,mex/tex-mex,CA,90011.0,25700.0
269,mex/tex-mex,CA,90011.0,25700.0
274,mex/tex-mex,CA,90011.0,25700.0
276,mex/tex-mex,CA,90026.0,93139.0
286,mex/tex-mex,CA,90012.0,15956.0
287,mex/tex-mex,CA,90065.0,300000.0
289,mex/tex-mex,CA,90026.0,93139.0
295,mex/tex-mex,CA,90033.0,300000.0
297,mex/tex-mex,CA,90031.0,27902.0
316,mex/tex-mex,CA,90015.0,36291.0
325,mex/tex-mex,CA,90048.0,62610.0
335,mex/tex-mex,CA,90034.0,300000.0
339,mex/tex-mex,CA,90019.0,42865.0
341,mex/tex-mex,CA,90212.0,89224.0
342,mex/tex-mex,CA,90019.0,42865.0
343,mex/tex-mex,CA,90034.0,300000.0
344,mex/tex-mex,CA,90016.0,25753.0
349,mex/tex-mex,CA,90031.0,27902.0
354,mex/tex-mex,CA,90006.0,28469.0
376,mex/tex-mex,CA,90602.0,48157.0
377,mex/tex-mex,CA,90022.0,44387.0
387,mex/tex-mex,CA,90022.0,44387.0
401,mex/tex-mex,CA,90032.0,38818.0
402,mex/tex-mex,CA,90640.0,49628.0
403,mex/tex-mex,CA,90023.0,19354.0
404,mex/tex-mex,CA,91754.0,60854.0
405,mex/tex-mex,CA,90063.0,52980.0
410,mex/tex-mex,CA,90022.0,44387.0
411,mex/tex-mex,CA,90022.0,44387.0
419,mex/tex-mex,CA,90022.0,44387.0
422,mex/tex-mex,CA,90022.0,44387.0
431,mex/tex-mex,CA,90033.0,300000.0
433,mex/tex-mex,CA,90022.0,44387.0
436,mex/tex-mex,CA,90023.0,19354.0
438,mex/tex-mex,CA,90023.0,19354.0
445,mex/tex-mex,CA,90023.0,19354.0
450,mex/tex-mex,CA,90033.0,300000.0
456,mex/tex-mex,CA,90023.0,19354.0
460,mex/tex-mex,CA,90024.0,91139.0
463,mex/tex-mex,CA,90049.0,300000.0
464,mex/tex-mex,CA,90025.0,97041.0
471,mex/tex-mex,CA,90025.0,97041.0
