,res_type,state_ab,zip_code,median
35,pizza,CA,90001.0,30036.0
138,pizza,CA,90010.0,300000.0
168,pizza,CA,90018.0,37415.0
258,pizza,CA,90008.0,70607.0
293,pizza,CA,90031.0,27902.0
425,pizza,CA,91754.0,60854.0
470,pizza,CA,90024.0,91139.0
481,pizza,CA,90024.0,91139.0
535,pizza,CA,90029.0,28797.0
546,pizza,CA,90026.0,93139.0
579,pizza,CA,90027.0,64881.0
594,pizza,CA,90028.0,83180.0
678,pizza,CA,90033.0,300000.0
706,pizza,CA,90034.0,300000.0
719,pizza,CA,90212.0,89224.0
728,pizza,CA,90036.0,300000.0
783,pizza,CA,91204.0,55120.0
798,pizza,CA,90065.0,300000.0
906,pizza,CA,90045.0,107969.0
916,pizza,CA,90301.0,32736.0
920,pizza,CA,90245.0,86968.0
921,pizza,CA,90045.0,107969.0
950,pizza,CA,90046.0,46897.0
981,pizza,CA,90301.0,32736.0
1003,pizza,CA,90049.0,300000.0
1006,pizza,CA,90024.0,91139.0
1008,pizza,CA,90024.0,91139.0
1019,pizza,CA,90024.0,91139.0
1023,pizza,CA,90025.0,97041.0
1031,pizza,CA,90025.0,97041.0
1042,pizza,CA,90230.0,300000.0
1082,pizza,CA,90201.0,56738.0
1095,pizza,CA,90262.0,41431.0
1146,pizza,CA,90247.0,35604.0
1164,pizza,CA,90063.0,52980.0
1168,pizza,CA,90033.0,300000.0
1173,pizza,CA,90063.0,52980.0
1202,pizza,CA,90066.0,116703.0
1229,pizza,CA,91604.0,300000.0
1243,pizza,CA,90068.0,98295.0
1273,pizza,CA,90230.0,300000.0
1300,pizza,CA,90201.0,56738.0
1313,pizza,CA,90212.0,89224.0
1323,pizza,CA,91604.0,300000.0
1331,pizza,CA,90035.0,77492.0
1374,pizza,CA,90220.0,43250.0
1409,pizza,CA,90221.0,43934.0
1411,pizza,CA,90807.0,77305.0
1412,pizza,CA,90712.0,99591.0
1430,pizza,CA,90220.0,43250.0
1438,pizza,CA,90230.0,300000.0
1469,pizza,CA,90241.0,53192.0
1495,pizza,CA,90242.0,76695.0
1548,pizza,CA,90266.0,206024.0
1552,pizza,CA,90250.0,40862.0
1574,pizza,CA,90250.0,40862.0
1577,pizza,CA,90278.0,300000.0
1580,pizza,CA,90026.0,93139.0
1585,pizza,CA,90247.0,35604.0
1608,pizza,CA,90249.0,52730.0
1623,pizza,CA,90746.0,48895.0
1635,pizza,CA,90248.0,300000.0
1646,pizza,CA,90260.0,45831.0
1670,pizza,CA,90278.0,300000.0
1697,pizza,CA,90266.0,206024.0
1700,pizza,CA,90254.0,117114.0
1738,pizza,CA,90255.0,27107.0
1752,pizza,CA,90266.0,206024.0
1765,pizza,CA,90260.0,45831.0
1786,pizza,CA,90280.0,42954.0
1792,pizza,CA,90262.0,41431.0
1829,pizza,CA,90270.0,21049.0
1888,pizza,CA,90403.0,156861.0
1899,pizza,CA,90066.0,116703.0
1924,pizza,CA,90045.0,107969.0
1925,pizza,CA,90045.0,107969.0
1939,pizza,CA,90302.0,32606.0
1961,pizza,CA,90303.0,80697.0
1963,pizza,CA,90303.0,80697.0
1994,pizza,CA,90404.0,94342.0
2010,pizza,CA,90405.0,46977.0
2101,pizza,CA,90503.0,300000.0
2126,pizza,CA,90249.0,52730.0
2132,pizza,CA,90505.0,300000.0
2146,pizza,CA,90501.0,63008.0
2147,pizza,CA,90717.0,140323.0
2157,pizza,CA,90274.0,157006.0
2171,pizza,CA,90605.0,300000.0
2172,pizza,CA,90604.0,62108.0
2174,pizza,CA,90605.0,300000.0
2179,pizza,CA,90605.0,300000.0
2198,pizza,CA,90631.0,72539.0
2210,pizza,CA,90638.0,96936.0
2228,pizza,CA,90605.0,300000.0
2231,pizza,CA,90638.0,96936.0
2244,pizza,CA,90638.0,96936.0
2248,pizza,CA,90601.0,78658.0
2270,pizza,CA,90606.0,58849.0
2277,pizza,CA,90660.0,73063.0
2281,pizza,CA,90601.0,78658.0
2342,pizza,CA,90621.0,52358.0
2353,pizza,CA,90638.0,96936.0
2354,pizza,CA,90621.0,52358.0
2357,pizza,CA,90638.0,96936.0
2374,pizza,CA,90630.0,300000.0
2394,pizza,CA,90720.0,43461.0
2404,pizza,CA,90740.0,65316.0
2407,pizza,CA,90720.0,43461.0
2415,pizza,CA,92835.0,300000.0
2438,pizza,CA,92833.0,300000.0
2446,pizza,CA,90631.0,72539.0
2530,pizza,CA,90706.0,300000.0
2545,pizza,CA,90640.0,49628.0
2547,pizza,CA,90640.0,49628.0
2550,pizza,CA,90660.0,73063.0
2591,pizza,CA,90680.0,47046.0
2593,pizza,CA,92804.0,300000.0
2616,pizza,CA,92683.0,43211.0
2655,pizza,CA,90630.0,300000.0
2656,pizza,CA,90701.0,61821.0
2660,pizza,CA,90701.0,61821.0
2679,pizza,CA,90706.0,300000.0
2681,pizza,CA,90706.0,300000.0
2696,pizza,CA,90745.0,57020.0
2702,pizza,CA,90744.0,31470.0
2705,pizza,CA,90744.0,31470.0
2710,pizza,CA,90717.0,140323.0
2756,pizza,CA,90713.0,75940.0
2763,pizza,CA,90713.0,75940.0
2769,pizza,CA,90712.0,99591.0
