zip_code,burger_count,median,hotdog_count,mex_count,pizza_count,deli_count
60089,2.0,102256,0,0,0,0
90305,1.0,34421,0,0,0,0
60402,1.0,52331,0,0,0,0
90304,2.0,36108,0,0,0,0
90755,1.0,36506,0,0,0,0
11217,3.0,71494,0,0,0,0
10467,2.0,25840,0,0,0,0
91303,1.0,88567,0,0,0,0
75039,1.0,0,0,0,0,0
90262,6.0,41431,0,0,0,0
11224,1.0,44938,0,0,0,0
77386,1.0,58424,0,0,0,0
90210,1.0,208338,0,0,0,0
94118,3.0,63551,0,0,0,0
24201,4.0,25864,0,0,0,0
60176,1.0,62081,0,0,0,0
93277,7.0,87021,0,0,0,0
10003,5.0,300000,0,0,0,0
10282,1.0,0,0,0,0,0
90638,3.0,96936,0,0,0,0
91801,3.0,104023,0,0,0,0
90064,5.0,300000,0,0,0,0
90047,2.0,26090,0,0,0,0
90004,2.0,37893,0,0,0,0
77503,1.0,51664,0,0,0,0
22030,2.0,300000,0,0,0,0
90242,6.0,76695,0,0,0,0
10462,3.0,50224,0,0,0,0
37066,2.0,57335,0,0,0,0
77381,3.0,74749,0,0,0,0
10025,3.0,300000,0,0,0,0
75232,1.0,300000,0,0,0,0
90710,1.0,48109,0,0,0,0
32011,3.0,25171,0,0,0,0
77379,4.0,48975,0,0,0,0
11101,2.0,40506,0,0,0,0
77385,2.0,90121,0,0,0,0
75063,5.0,73694,0,0,0,0
60616,1.0,44154,0,0,0,0
93536,2.0,57343,0,0,0,0
77017,1.0,47364,0,0,0,0
75218,2.0,55994,0,0,0,0
7024,1.0,74430,0,0,0,0
60657,3.0,58437,0,0,0,0
32065,1.0,88279,0,0,0,0
77089,1.0,300000,0,0,0,0
90018,2.0,37415,0,0,0,0
90740,2.0,65316,0,0,0,0
90723,4.0,45286,0,0,0,0
90230,2.0,300000,0,0,0,0
77095,3.0,41168,0,0,0,0
10027,2.0,128764,0,0,0,0
52601,6.0,300000,0,0,0,0
11220,1.0,38931,0,0,0,0
90212,1.0,89224,0,0,0,0
32119,1.0,39156,0,0,0,0
90019,2.0,42865,0,0,0,0
91506,1.0,300000,0,0,0,0
11379,1.0,57353,0,0,0,0
94109,5.0,105824,0,0,0,0
77301,3.0,56057,0,0,0,0
75212,1.0,27521,0,0,0,0
10128,1.0,129437,0,0,0,0
11373,1.0,28666,0,0,0,0
77035,4.0,71137,0,0,0,0
22305,1.0,52927,0,0,0,0
77449,2.0,300000,0,0,0,0
11377,2.0,300000,0,0,0,0
90712,3.0,99591,0,0,0,0
90280,9.0,42954,0,0,0,0
75244,1.0,151318,0,0,0,0
90802,2.0,28386,0,0,0,0
11201,4.0,105949,0,0,0,0
60060,1.0,77622,0,0,0,0
11420,1.0,45629,0,0,0,0
94121,2.0,131522,0,0,0,0
75061,2.0,52672,0,0,0,0
93722,2.0,53793,0,0,0,0
75238,2.0,34726,0,0,0,0
75028,5.0,75687,0,0,0,0
22314,3.0,99420,0,0,0,0
